"","gene_cluster_id","Prokka:Prodigal","n"
"1","GC_00000003","ISL3 family transposase ISSau8",66
"2","GC_00000003","ISL3 family transposase ISSha1",12
"3","GC_00000003","ISL3 family transposase ISSth1",5
"4","GC_00000003","None",9
"5","GC_00000008","IS3 family transposase ISEfa10",17
"6","GC_00000008","None",40
"7","GC_00000028","IS3 family transposase ISBth167",3
"8","GC_00000028","IS3 family transposase ISEfa10",15
"9","GC_00000028","IS3 family transposase ISHar1",2
"10","GC_00000028","IS3 family transposase ISLla3",4
"11","GC_00000028","IS3 family transposase ISSth6",3
"12","GC_00000028","None",9
"13","GC_00000028","Putative transposase InsK for insertion sequence element IS150",2
"14","GC_00000040","None",34
"15","GC_00000054","IS66 family transposase ISCce5",1
"16","GC_00000054","IS66 family transposase ISDeal1",3
"17","GC_00000054","None",27
"18","GC_00000084","IS30 family transposase ISCth2",13
"19","GC_00000084","IS30 family transposase ISTde2",3
"20","GC_00000084","None",14
"21","GC_00001670","IS1595 family transposase ISCco3",1
"22","GC_00001670","None",11
"23","GC_00001694","ISL3 family transposase ISPpu12",11
"24","GC_00001702","IS30 family transposase IS1161",5
"25","GC_00001702","IS30 family transposase ISSag3",1
"26","GC_00001702","None",5
"27","GC_00001775","IS30 family transposase IS1062",1
"28","GC_00001775","IS30 family transposase IS6770",1
"29","GC_00001775","None",7
"30","GC_00001787","IS30 family transposase ISStin2",1
"31","GC_00001787","None",7
"32","GC_00002090","None",3
"33","GC_00002103","None",3
"34","GC_00002208","None",3
"35","GC_00002309","IS256 family transposase IS1542",2
"36","GC_00002347","IS30 family transposase ISSau1",2
"37","GC_00002381","None",2
"38","GC_00002429","None",2
"39","GC_00002459","IS30 family transposase ISStin2",1
"40","GC_00002489","IS1595 family transposase ISCco4",1
"41","GC_00002499","IS200/IS605 family transposase ISLhe65",1
"42","GC_00002678","IS1595 family transposase ISCco3",1
"43","GC_00002804","IS1595 family transposase ISCco3",1
"44","GC_00002856","None",1
