gene	contig	start	stop	strand	ori	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
ATCC_51524___1	c_000000000001	3654	4955	-	F	GC_00000365	1	persistent	3	1	5
ATCC_51524___2	c_000000000001	5083	6612	-	F	GC_00001051	1	persistent	2	0	0
ATCC_51524___3	c_000000000001	6612	7370	-	F	GC_00000794	1	persistent	2	0	0
ATCC_51524___4	c_000000000001	7460	8644	-	F	GC_00000734	1	persistent	2	0	0
ATCC_51524___5	c_000000000001	8772	9767	-	F	GC_00000029	1	persistent	3	1	0
ATCC_51524___6	c_000000000001	9807	10835	-	F	GC_00000753	1	persistent	2	0	0
ATCC_51524___7	c_000000000001	10964	11452	-	F	GC_00000434	1	persistent	2	0	0
ATCC_51524___8	c_000000000001	11486	11899	-	F	GC_00000854	1	persistent	2	0	0
ATCC_51524___9	c_000000000001	12049	14031	-	F	GC_00000821	1	persistent	2	0	0
ATCC_51524___10	c_000000000001	14168	14422	-	F	GC_00000228	1	persistent	2	1	0
ATCC_51524___11	c_000000000001	14599	15516	-	F	GC_00000833	1	persistent	2	1	0
ATCC_51524___12	c_000000000001	15605	16513	+	F	GC_00001033	1	persistent	2	0	0
ATCC_51524___13	c_000000000001	16553	18961	-	F	GC_00001100	1	persistent	2	0	0
ATCC_51524___14	c_000000000001	19124	19765	-	F	GC_00000310	1	persistent	2	0	0
ATCC_51524___15	c_000000000001	20070	21098	+	F	GC_00001092	1	persistent	2	1	0
ATCC_51524___16	c_000000000001	21310	22488	-	F	GC_00001137	1	persistent	3	0	1
ATCC_51524___17	c_000000000001	22615	23505	-	F	GC_00001451	1	persistent	2	0	0
ATCC_51524___18	c_000000000001	23755	24594	-	F	GC_00000674	1	persistent	3	0	0
ATCC_51524___19	c_000000000001	24621	25214	-	F	GC_00001263	1	persistent	2	0	0
ATCC_51524___20	c_000000000001	25331	25669	-	F	GC_00000618	1	persistent	2	0	0
ATCC_51524___21	c_000000000001	25669	26049	-	F	GC_00000766	1	persistent	2	0	0
ATCC_51524___22	c_000000000001	26093	26473	-	F	GC_00000776	1	persistent	2	0	0
ATCC_51524___23	c_000000000001	26574	27155	-	F	GC_00000742	1	persistent	2	0	0
ATCC_51524___24	c_000000000001	27161	27817	-	F	GC_00000168	2	persistent	3	0	0
ATCC_51524___25	c_000000000001	27875	28144	-	F	GC_00000168	2	persistent	3	0	0
ATCC_51524___26	c_000000000001	28176	29996	-	F	GC_00001185	1	persistent	2	0	0
ATCC_51524___27	c_000000000001	30022	31533	-	F	GC_00000785	1	persistent	2	0	0
ATCC_51524___28	c_000000000001	31898	37087	-	F	GC_00001112	1	persistent	2	0	0
ATCC_51524___29	c_000000000001	37531	37758	+	F	GC_00000405	1	persistent	2	0	0
ATCC_51524___30	c_000000000001	37872	38945	-	F	GC_00000471	1	persistent	2	0	0
ATCC_51524___31	c_000000000001	38972	39628	-	F	GC_00000551	1	persistent	2	0	0
ATCC_51524___32	c_000000000001	39908	40942	+	F	GC_00000502	1	persistent	2	0	0
ATCC_51524___33	c_000000000001	41030	41569	-	F	GC_00000391	1	persistent	2	0	0
ATCC_51524___34	c_000000000001	41677	42189	-	F	GC_00000588	1	persistent	2	0	0
ATCC_51524___35	c_000000000001	42369	43196	+	F	GC_00000493	1	persistent	2	0	0
ATCC_51524___36	c_000000000001	43296	43919	+	F	GC_00000612	1	persistent	2	0	0
ATCC_51524___37	c_000000000001	43975	44979	+	F	GC_00000413	1	persistent	2	0	0
ATCC_51524___38	c_000000000001	44986	45522	+	F	GC_00001157	1	persistent	4	0	0
ATCC_51524___39	c_000000000001	46051	46461	+	F	GC_00000272	1	persistent	3	0	0
ATCC_51524___40	c_000000000001	46528	47154	-	F	GC_00000763	1	persistent	2	1	1
ATCC_51524___41	c_000000000001	47312	47692	-	F	GC_00000507	1	persistent	3	2	1
ATCC_51524___42	c_000000000001	47836	48411	-	F	GC_00000157	1	persistent	3	0	0
ATCC_51524___43	c_000000000001	48833	50578	-	F	GC_00000058	1	persistent	3	0	0
ATCC_51524___44	c_000000000001	50594	50968	-	F	GC_00000599	1	persistent	2	0	0
ATCC_51524___45	c_000000000001	51348	51692	-	F	GC_00000558	1	persistent	2	0	0
ATCC_51524___46	c_000000000001	51708	52709	-	F	GC_00000166	1	persistent	3	0	0
ATCC_51524___47	c_000000000001	52713	53813	-	F	GC_00000562	1	persistent	2	0	0
ATCC_51524___48	c_000000000001	54365	56260	+	F	GC_00001220	1	persistent	2	0	0
ATCC_51524___49	c_000000000001	56330	57091	+	F	GC_00000144	1	persistent	4	1	3
ATCC_51524___50	c_000000000001	57423	57887	-	F	GC_00000641	1	persistent	3	2	0
ATCC_51524___51	c_000000000001	58095	58367	-	F	GC_00000567	1	persistent	2	0	0
ATCC_51524___52	c_000000000001	58370	59422	-	F	GC_00001182	1	persistent	2	0	0
ATCC_51524___53	c_000000000001	59424	62948	-	F	GC_00001250	1	persistent	2	0	0
ATCC_51524___54	c_000000000001	62998	63558	-	F	GC_00000450	1	persistent	3	0	1
ATCC_51524___55	c_000000000001	63701	65671	-	F	GC_00001411	1	persistent	2	1	1
ATCC_51524___56	c_000000000001	65843	67303	-	F	GC_00000930	1	persistent	3	2	2
ATCC_51524___57	c_000000000001	67587	67709	-	F	GC_00001460	1	shell	1	1	1
ATCC_51524___58	c_000000000001	67803	68996	-	F	GC_00001443	1	shell	2	2	1
ATCC_51524___59	c_000000000001	69171	70040	+	F	GC_00000909	1	persistent	3	1	0
ATCC_51524___60	c_000000000001	70127	71485	-	F	GC_00000943	1	persistent	3	0	0
ATCC_51524___61	c_000000000001	71687	72244	+	F	GC_00000403	1	persistent	2	0	0
ATCC_51524___62	c_000000000001	72241	72807	+	F	GC_00000568	1	persistent	2	0	0
ATCC_51524___63	c_000000000001	72868	73932	-	F	GC_00000614	1	persistent	2	0	0
ATCC_51524___64	c_000000000001	73935	75263	-	F	GC_00000885	1	persistent	2	0	0
ATCC_51524___65	c_000000000001	75545	76018	-	F	GC_00000815	1	persistent	2	0	0
ATCC_51524___66	c_000000000001	76127	77101	-	F	GC_00000355	1	persistent	2	0	0
ATCC_51524___67	c_000000000001	77185	78558	-	F	GC_00001306	1	persistent	3	0	0
ATCC_51524___68	c_000000000001	78688	79509	-	F	GC_00001354	1	persistent	2	0	1
ATCC_51524___69	c_000000000001	79622	83062	-	F	GC_00000937	1	persistent	3	0	1
ATCC_51524___70	c_000000000001	83455	86079	+	F	GC_00001195	1	persistent	2	0	0
