gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	c_000000000001	3653	4955	r	0	1	Prodigal	002006
2	c_000000000001	5082	6612	r	0	1	Prodigal	002006
3	c_000000000001	6611	7370	r	0	1	Prodigal	002006
4	c_000000000001	7459	8644	r	0	1	Prodigal	002006
5	c_000000000001	8771	9767	r	0	1	Prodigal	002006
6	c_000000000001	9806	10835	r	0	1	Prodigal	002006
7	c_000000000001	10963	11452	r	0	1	Prodigal	002006
8	c_000000000001	11485	11899	r	0	1	Prodigal	002006
9	c_000000000001	12048	14031	r	0	1	Prodigal	002006
10	c_000000000001	14167	14422	r	0	1	Prodigal	002006
11	c_000000000001	14598	15516	r	0	1	Prodigal	002006
12	c_000000000001	15604	16513	f	0	1	Prodigal	002006
13	c_000000000001	16552	18961	r	0	1	Prodigal	002006
14	c_000000000001	19123	19765	r	0	1	Prodigal	002006
15	c_000000000001	20069	21098	f	0	1	Prodigal	002006
16	c_000000000001	21309	22488	r	0	1	Prodigal	002006
17	c_000000000001	22614	23505	r	0	1	Prodigal	002006
18	c_000000000001	23754	24594	r	0	1	Prodigal	002006
19	c_000000000001	24620	25214	r	0	1	Prodigal	002006
20	c_000000000001	25330	25669	r	0	1	Prodigal	002006
21	c_000000000001	25668	26049	r	0	1	Prodigal	002006
22	c_000000000001	26092	26473	r	0	1	Prodigal	002006
23	c_000000000001	26573	27155	r	0	1	Prodigal	002006
24	c_000000000001	27160	27817	r	0	1	Prodigal	002006
25	c_000000000001	27874	28144	r	0	1	Prodigal	002006
26	c_000000000001	28175	29996	r	0	1	Prodigal	002006
27	c_000000000001	30021	31533	r	0	1	Prodigal	002006
28	c_000000000001	31897	37087	r	0	1	Prodigal	002006
29	c_000000000001	37530	37758	f	0	1	Prodigal	002006
30	c_000000000001	37871	38945	r	0	1	Prodigal	002006
31	c_000000000001	38971	39628	r	0	1	Prodigal	002006
32	c_000000000001	39907	40942	f	0	1	Prodigal	002006
33	c_000000000001	41029	41569	r	0	1	Prodigal	002006
34	c_000000000001	41676	42189	r	0	1	Prodigal	002006
35	c_000000000001	42368	43196	f	0	1	Prodigal	002006
36	c_000000000001	43295	43919	f	0	1	Prodigal	002006
37	c_000000000001	43974	44979	f	0	1	Prodigal	002006
38	c_000000000001	44985	45522	f	0	1	Prodigal	002006
39	c_000000000001	46050	46461	f	0	1	Prodigal	002006
40	c_000000000001	46527	47154	r	0	1	Prodigal	002006
41	c_000000000001	47311	47692	r	0	1	Prodigal	002006
42	c_000000000001	47835	48411	r	0	1	Prodigal	002006
43	c_000000000001	48832	50578	r	0	1	Prodigal	002006
44	c_000000000001	50593	50968	r	0	1	Prodigal	002006
45	c_000000000001	51347	51692	r	0	1	Prodigal	002006
46	c_000000000001	51707	52709	r	0	1	Prodigal	002006
47	c_000000000001	52712	53813	r	0	1	Prodigal	002006
48	c_000000000001	54364	56260	f	0	1	Prodigal	002006
49	c_000000000001	56329	57091	f	0	1	Prodigal	002006
50	c_000000000001	57422	57887	r	0	1	Prodigal	002006
51	c_000000000001	58094	58367	r	0	1	Prodigal	002006
52	c_000000000001	58369	59422	r	0	1	Prodigal	002006
53	c_000000000001	59423	62948	r	0	1	Prodigal	002006
54	c_000000000001	62997	63558	r	0	1	Prodigal	002006
55	c_000000000001	63700	65671	r	0	1	Prodigal	002006
56	c_000000000001	65842	67303	r	0	1	Prodigal	002006
57	c_000000000001	67586	67709	r	0	1	Prodigal	002006
58	c_000000000001	67802	68996	r	0	1	Prodigal	002006
59	c_000000000001	69170	70040	f	0	1	Prodigal	002006
60	c_000000000001	70126	71485	r	0	1	Prodigal	002006
61	c_000000000001	71686	72244	f	0	1	Prodigal	002006
62	c_000000000001	72240	72807	f	0	1	Prodigal	002006
63	c_000000000001	72867	73932	r	0	1	Prodigal	002006
64	c_000000000001	73934	75263	r	0	1	Prodigal	002006
65	c_000000000001	75544	76018	r	0	1	Prodigal	002006
66	c_000000000001	76126	77101	r	0	1	Prodigal	002006
67	c_000000000001	77184	78558	r	0	1	Prodigal	002006
68	c_000000000001	78687	79509	r	0	1	Prodigal	002006
69	c_000000000001	79621	83062	r	0	1	Prodigal	002006
70	c_000000000001	83454	86079	f	0	1	Prodigal	002006
71	c_000000000001	86186	86525	f	0	1	Prodigal	002006
72	c_000000000001	87062	88388	r	0	1	Prodigal	002006
73	c_000000000001	88487	89354	r	0	1	Prodigal	002006
74	c_000000000001	89368	90259	r	0	1	Prodigal	002006
75	c_000000000001	90255	91314	r	0	1	Prodigal	002006
76	c_000000000001	91547	93335	r	0	1	Prodigal	002006
77	c_000000000001	93487	95077	r	0	1	Prodigal	002006
78	c_000000000001	95073	96375	r	0	1	Prodigal	002006
79	c_000000000001	96532	97453	f	0	1	Prodigal	002006
80	c_000000000001	97497	98355	r	0	1	Prodigal	002006
81	c_000000000001	98360	100622	r	0	1	Prodigal	002006
82	c_000000000001	100803	101553	r	0	1	Prodigal	002006
83	c_000000000001	101597	101729	r	0	1	Prodigal	002006
84	c_000000000001	102078	102465	r	0	1	Prodigal	002006
85	c_000000000001	102579	103404	r	0	1	Prodigal	002006
86	c_000000000001	103694	103958	r	0	1	Prodigal	002006
87	c_000000000001	104148	105441	r	0	1	Prodigal	002006
88	c_000000000001	105747	106035	f	0	1	Prodigal	002006
89	c_000000000001	106151	110189	r	0	1	Prodigal	002006
90	c_000000000001	110198	110900	r	0	1	Prodigal	002006
91	c_000000000001	111029	111629	f	0	1	Prodigal	002006
92	c_000000000001	111886	112444	r	0	1	Prodigal	002006
93	c_000000000001	112443	113217	r	0	1	Prodigal	002006
94	c_000000000001	113312	114494	r	0	1	Prodigal	002006
95	c_000000000001	114517	115975	r	0	1	Prodigal	002006
96	c_000000000001	115977	116694	r	0	1	Prodigal	002006
97	c_000000000001	116726	116867	r	0	1	Prodigal	002006
98	c_000000000001	116900	117236	r	0	1	Prodigal	002006
99	c_000000000001	117549	119241	f	0	1	Prodigal	002006
100	c_000000000001	119382	120348	r	0	1	Prodigal	002006
101	c_000000000001	120525	121416	r	0	1	Prodigal	002006
102	c_000000000001	121729	123346	r	0	1	Prodigal	002006
103	c_000000000001	123640	125665	r	0	1	Prodigal	002006
104	c_000000000001	125800	126271	r	0	1	Prodigal	002006
