"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Accessory Fragment","Genome Fragment","Order within Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ATCC_51524","KPL3033","KPL3043","KPL3050","KPL3052","KPL3065","KPL3069","KPL3070","KPL3077","KPL3084","KPL3086","KPL3090","KPL3246","KPL3250","KPL3256","KPL3264","KPL3274","KPL3911","KPL1914","KPL1934_CDC4709_98","KPL1939_CDC4792_99","KPL1938_CDC4791_99","KPL1937_CDC4199_99","KPL1933_CDC4545_98","KPL1932_CDC4420_98","KPL1931_CDC4294_98","KPL1930_CDC2949_98","KPL1922_CDC39_95"
"GC_00000001","persistent","Retron-type reverse transcriptase (YkfC)","28","149","5.32","NA","NA","","","","296","1295","1191.69","ATCC_51524_CDS_0899","KPL3033_CDS_1708" "KPL3033_CDS_0875" "KPL3033_CDS_1047" "KPL3033_CDS_1691" "KPL3033_CDS_1484" "KPL3033_CDS_1583" "KPL3033_CDS_0874","KPL3043_CDS_1558" "KPL3043_CDS_0822" "KPL3043_CDS_1018" "KPL3043_CDS_0440" "KPL3043_CDS_1207" "KPL3043_CDS_0150" "KPL3043_CDS_0118" "KPL3043_CDS_1272" "KPL3043_CDS_0026" "KPL3043_CDS_1614","KPL3050_CDS_1162" "KPL3050_CDS_1237" "KPL3050_CDS_0244" "KPL3050_CDS_0104" "KPL3050_CDS_1275" "KPL3050_CDS_1716" "KPL3050_CDS_1039" "KPL3050_CDS_0814" "KPL3050_CDS_1117" "KPL3050_CDS_0253" "KPL3050_CDS_1525","KPL3052_CDS_0995" "KPL3052_CDS_1555" "KPL3052_CDS_1127" "KPL3052_CDS_1557","KPL3065_CDS_1593" "KPL3065_CDS_0356" "KPL3065_CDS_1537" "KPL3065_CDS_0105" "KPL3065_CDS_0026" "KPL3065_CDS_0135" "KPL3065_CDS_1633" "KPL3065_CDS_1191","KPL3069_CDS_1457" "KPL3069_CDS_0814" "KPL3069_CDS_1459" "KPL3069_CDS_0815","KPL3070_CDS_1300" "KPL3070_CDS_1362" "KPL3070_CDS_0956" "KPL3070_CDS_1699" "KPL3070_CDS_1625","KPL3077_CDS_1304" "KPL3077_CDS_1049" "KPL3077_CDS_0776","KPL3084_CDS_1645" "KPL3084_CDS_0517" "KPL3084_CDS_0974" "KPL3084_CDS_1324" "KPL3084_CDS_1719" "KPL3084_CDS_1401","KPL3086_CDS_0105" "KPL3086_CDS_0354" "KPL3086_CDS_1203" "KPL3086_CDS_1551" "KPL3086_CDS_0026" "KPL3086_CDS_0135" "KPL3086_CDS_1606","KPL3090_CDS_0687" "KPL3090_CDS_0244" "KPL3090_CDS_1418" "KPL3090_CDS_1252" "KPL3090_CDS_1140" "KPL3090_CDS_1748" "KPL3090_CDS_0403" "KPL3090_CDS_1777" "KPL3090_CDS_0026" "KPL3090_CDS_1047" "KPL3090_CDS_0011" "KPL3090_CDS_0933" "KPL3090_CDS_1565" "KPL3090_CDS_1291","KPL3246_CDS_1368" "KPL3246_CDS_0739" "KPL3246_CDS_0266" "KPL3246_CDS_0308" "KPL3246_CDS_0341" "KPL3246_CDS_1311" "KPL3246_CDS_1145" "KPL3246_CDS_1637","KPL3250_CDS_1670" "KPL3250_CDS_1172" "KPL3250_CDS_1591" "KPL3250_CDS_0215" "KPL3250_CDS_0287" "KPL3250_CDS_1368" "KPL3250_CDS_0932" "KPL3250_CDS_1413" "KPL3250_CDS_0722","KPL3256_CDS_0903" "KPL3256_CDS_0778" "KPL3256_CDS_1199","KPL3264_CDS_0398" "KPL3264_CDS_1142" "KPL3264_CDS_1710" "KPL3264_CDS_0164" "KPL3264_CDS_0223" "KPL3264_CDS_1677" "KPL3264_CDS_1507","KPL3274_CDS_0998","KPL3911_CDS_0788" "KPL3911_CDS_1000" "KPL3911_CDS_1659" "KPL3911_CDS_1734" "KPL3911_CDS_1420" "KPL3911_CDS_1350" "KPL3911_CDS_1189" "KPL3911_CDS_1117","KPL1914_CDS_1177" "KPL1914_CDS_0474","KPL1934_CDC4709_98_CDS_1337" "KPL1934_CDC4709_98_CDS_1680" "KPL1934_CDC4709_98_CDS_0661" "KPL1934_CDC4709_98_CDS_0069" "KPL1934_CDC4709_98_CDS_1562" "KPL1934_CDC4709_98_CDS_1417" "KPL1934_CDC4709_98_CDS_0497" "KPL1934_CDC4709_98_CDS_1222" "KPL1934_CDC4709_98_CDS_0605" "KPL1934_CDC4709_98_CDS_1129" "KPL1934_CDC4709_98_CDS_0396","KPL1939_CDC4792_99_CDS_0797" "KPL1939_CDC4792_99_CDS_1242" "KPL1939_CDC4792_99_CDS_0946","KPL1938_CDC4791_99_CDS_0914" "KPL1938_CDC4791_99_CDS_1193","KPL1937_CDC4199_99_CDS_1052" "KPL1937_CDC4199_99_CDS_0883" "KPL1937_CDC4199_99_CDS_0884" "KPL1937_CDC4199_99_CDS_0894" "KPL1937_CDC4199_99_CDS_1006","KPL1933_CDC4545_98_CDS_0208" "KPL1933_CDC4545_98_CDS_0318","KPL1932_CDC4420_98_CDS_0431" "KPL1932_CDC4420_98_CDS_0689","KPL1931_CDC4294_98_CDS_1191" "KPL1931_CDC4294_98_CDS_0778","KPL1930_CDC2949_98_CDS_0279","KPL1922_CDC39_95_CDS_1079" "KPL1922_CDC39_95_CDS_0133" "KPL1922_CDC39_95_CDS_0134"
"GC_00000002","persistent","","28","131","4.68","NA","NA","","","","92","563","182.05","ATCC_51524_CDS_0640" "ATCC_51524_CDS_0511","KPL3033_CDS_1690" "KPL3033_CDS_1046","KPL3043_CDS_1270" "KPL3043_CDS_1206" "KPL3043_CDS_1613" "KPL3043_CDS_0019" "KPL3043_CDS_1595" "KPL3043_CDS_1017" "KPL3043_CDS_0119","KPL3050_CDS_1369" "KPL3050_CDS_1274" "KPL3050_CDS_0813" "KPL3050_CDS_1715" "KPL3050_CDS_1116" "KPL3050_CDS_0105" "KPL3050_CDS_0245" "KPL3050_CDS_1161" "KPL3050_CDS_0254","KPL3052_CDS_1700" "KPL3052_CDS_1556","KPL3065_CDS_1575" "KPL3065_CDS_1190" "KPL3065_CDS_0019" "KPL3065_CDS_1250","KPL3069_CDS_1753" "KPL3069_CDS_1458","KPL3070_CDS_1698" "KPL3070_CDS_1624" "KPL3070_CDS_1477" "KPL3070_CDS_1361" "KPL3070_CDS_1299" "KPL3070_CDS_0021","KPL3077_CDS_1305" "KPL3077_CDS_1048" "KPL3077_CDS_0943" "KPL3077_CDS_1086","KPL3084_CDS_1503" "KPL3084_CDS_1718" "KPL3084_CDS_0021" "KPL3084_CDS_0518" "KPL3084_CDS_1323" "KPL3084_CDS_1400" "KPL3084_CDS_1644","KPL3086_CDS_1588" "KPL3086_CDS_1263" "KPL3086_CDS_0019" "KPL3086_CDS_1202","KPL3090_CDS_1139" "KPL3090_CDS_0027" "KPL3090_CDS_0688" "KPL3090_CDS_1776" "KPL3090_CDS_0245" "KPL3090_CDS_0010" "KPL3090_CDS_1046" "KPL3090_CDS_1564" "KPL3090_CDS_1290" "KPL3090_CDS_1253" "KPL3090_CDS_0404","KPL3246_CDS_1612" "KPL3246_CDS_0309" "KPL3246_CDS_1270","KPL3250_CDS_1367" "KPL3250_CDS_0723" "KPL3250_CDS_0931" "KPL3250_CDS_1412" "KPL3250_CDS_0288" "KPL3250_CDS_0216" "KPL3250_CDS_1669" "KPL3250_CDS_1590" "KPL3250_CDS_1171","KPL3256_CDS_0777" "KPL3256_CDS_1198" "KPL3256_CDS_1351" "KPL3256_CDS_0902","KPL3264_CDS_1508" "KPL3264_CDS_0222" "KPL3264_CDS_0165" "KPL3264_CDS_1141" "KPL3264_CDS_1678","KPL3274_CDS_1569","KPL3911_CDS_1733" "KPL3911_CDS_1419" "KPL3911_CDS_1349" "KPL3911_CDS_1521" "KPL3911_CDS_0022" "KPL3911_CDS_1658" "KPL3911_CDS_1190" "KPL3911_CDS_1118","KPL1914_CDS_0475" "KPL1914_CDS_0438","KPL1934_CDC4709_98_CDS_0498" "KPL1934_CDC4709_98_CDS_0606" "KPL1934_CDC4709_98_CDS_1130" "KPL1934_CDC4709_98_CDS_0397" "KPL1934_CDC4709_98_CDS_1561" "KPL1934_CDC4709_98_CDS_1416" "KPL1934_CDC4709_98_CDS_1221" "KPL1934_CDC4709_98_CDS_0662" "KPL1934_CDC4709_98_CDS_1679","KPL1939_CDC4792_99_CDS_1719" "KPL1939_CDC4792_99_CDS_0662","KPL1938_CDC4791_99_CDS_0060" "KPL1938_CDC4791_99_CDS_1691" "KPL1938_CDC4791_99_CDS_1432" "KPL1938_CDC4791_99_CDS_1294" "KPL1938_CDC4791_99_CDS_1606" "KPL1938_CDC4791_99_CDS_1431" "KPL1938_CDC4791_99_CDS_1192" "KPL1938_CDC4791_99_CDS_0434" "KPL1938_CDC4791_99_CDS_1663","KPL1937_CDC4199_99_CDS_1051" "KPL1937_CDC4199_99_CDS_1262" "KPL1937_CDC4199_99_CDS_1138" "KPL1937_CDC4199_99_CDS_0340" "KPL1937_CDC4199_99_CDS_1667" "KPL1937_CDC4199_99_CDS_0882" "KPL1937_CDC4199_99_CDS_0490","KPL1933_CDC4545_98_CDS_1104","KPL1932_CDC4420_98_CDS_0432" "KPL1932_CDC4420_98_CDS_1517","KPL1931_CDC4294_98_CDS_0236" "KPL1931_CDC4294_98_CDS_1438" "KPL1931_CDC4294_98_CDS_1627" "KPL1931_CDC4294_98_CDS_0849","KPL1930_CDC2949_98_CDS_0389" "KPL1930_CDC2949_98_CDS_0350" "KPL1930_CDC2949_98_CDS_0922","KPL1922_CDC39_95_CDS_0262" "KPL1922_CDC39_95_CDS_1078"
"GC_00000003","persistent","Transposase","25","92","3.68","NA","NA","","","","221","1292","1148.07","ATCC_51524_CDS_1576" "ATCC_51524_CDS_0343" "ATCC_51524_CDS_0884","KPL3033_CDS_1553" "KPL3033_CDS_1000","KPL3043_CDS_1026","KPL3050_CDS_1134" "KPL3050_CDS_0427" "KPL3050_CDS_0346" "KPL3050_CDS_0579","KPL3052_CDS_1135","KPL3065_CDS_1008","KPL3069_CDS_1116","KPL3070_CDS_0012" "KPL3070_CDS_0500" "KPL3070_CDS_1528" "KPL3070_CDS_1649" "KPL3070_CDS_1046","KPL3077_CDS_0316" "KPL3077_CDS_1799" "KPL3077_CDS_0513" "KPL3077_CDS_0584" "KPL3077_CDS_0505" "KPL3077_CDS_1380" "KPL3077_CDS_0284" "KPL3077_CDS_1071" "KPL3077_CDS_1182" "KPL3077_CDS_1149" "KPL3077_CDS_0291" "KPL3077_CDS_0597","KPL3084_CDS_0504" "KPL3084_CDS_0583" "KPL3084_CDS_0781" "KPL3084_CDS_1545" "KPL3084_CDS_1670" "KPL3084_CDS_1065" "KPL3084_CDS_0012","KPL3086_CDS_1021","KPL3090_CDS_0009" "KPL3090_CDS_1871" "KPL3090_CDS_1149" "KPL3090_CDS_0025" "KPL3090_CDS_0028" "KPL3090_CDS_1719" "KPL3090_CDS_1684" "KPL3090_CDS_0008" "KPL3090_CDS_1223","KPL3246_CDS_1044" "KPL3246_CDS_1437" "KPL3246_CDS_0561","KPL3250_CDS_1700" "KPL3250_CDS_1109","KPL3256_CDS_0635","KPL3264_CDS_0205" "KPL3264_CDS_0811" "KPL3264_CDS_0755" "KPL3264_CDS_0197" "KPL3264_CDS_1357" "KPL3264_CDS_0953" "KPL3264_CDS_0363","","KPL3911_CDS_1256" "KPL3911_CDS_1563" "KPL3911_CDS_0803" "KPL3911_CDS_0013" "KPL3911_CDS_0508" "KPL3911_CDS_1685" "KPL3911_CDS_1090" "KPL3911_CDS_0591","KPL1914_CDS_1023" "KPL1914_CDS_1540" "KPL1914_CDS_1541" "KPL1914_CDS_1031" "KPL1914_CDS_1022","KPL1934_CDC4709_98_CDS_1657" "KPL1934_CDC4709_98_CDS_1754" "KPL1934_CDC4709_98_CDS_1431" "KPL1934_CDC4709_98_CDS_1693" "KPL1934_CDC4709_98_CDS_1448" "KPL1934_CDC4709_98_CDS_0352","KPL1939_CDC4792_99_CDS_0386" "KPL1939_CDC4792_99_CDS_0937" "KPL1939_CDC4792_99_CDS_1444","KPL1938_CDC4791_99_CDS_1064","KPL1937_CDC4199_99_CDS_0404" "KPL1937_CDC4199_99_CDS_0077" "KPL1937_CDC4199_99_CDS_1718" "KPL1937_CDC4199_99_CDS_1719","","KPL1932_CDC4420_98_CDS_0823" "KPL1932_CDC4420_98_CDS_1420","KPL1931_CDC4294_98_CDS_1314" "KPL1931_CDC4294_98_CDS_1193","","KPL1922_CDC39_95_CDS_0125"
"GC_00000004","persistent","","28","82","2.93","NA","NA","","","","203","248","236.04","ATCC_51524_CDS_0855" "ATCC_51524_CDS_0857" "ATCC_51524_CDS_0856","KPL3033_CDS_1042" "KPL3033_CDS_1041" "KPL3033_CDS_1040","KPL3043_CDS_1063" "KPL3043_CDS_1065" "KPL3043_CDS_1064","KPL3050_CDS_1165" "KPL3050_CDS_1164" "KPL3050_CDS_1163","KPL3052_CDS_1163" "KPL3052_CDS_1165" "KPL3052_CDS_1164","KPL3065_CDS_1041" "KPL3065_CDS_1040" "KPL3065_CDS_1042","KPL3069_CDS_1149" "KPL3069_CDS_1151" "KPL3069_CDS_1150","KPL3070_CDS_1076" "KPL3070_CDS_1078" "KPL3070_CDS_1077","KPL3077_CDS_0545" "KPL3077_CDS_0544","KPL3084_CDS_1100" "KPL3084_CDS_1099" "KPL3084_CDS_1101","KPL3086_CDS_1056" "KPL3086_CDS_1055" "KPL3086_CDS_1054","KPL3090_CDS_1176" "KPL3090_CDS_1178" "KPL3090_CDS_1177","KPL3246_CDS_1071" "KPL3246_CDS_1073" "KPL3246_CDS_1072","KPL3250_CDS_1057" "KPL3250_CDS_1059" "KPL3250_CDS_1058","KPL3256_CDS_0663" "KPL3256_CDS_0665" "KPL3256_CDS_0664","KPL3264_CDS_0161" "KPL3264_CDS_0163" "KPL3264_CDS_0162","KPL3274_CDS_1034" "KPL3274_CDS_1033" "KPL3274_CDS_1032","KPL3911_CDS_1121" "KPL3911_CDS_1120" "KPL3911_CDS_1119","KPL1914_CDS_0964" "KPL1914_CDS_0966" "KPL1914_CDS_0965","KPL1934_CDC4709_98_CDS_1459" "KPL1934_CDC4709_98_CDS_1461" "KPL1934_CDC4709_98_CDS_1460","KPL1939_CDC4792_99_CDS_0372" "KPL1939_CDC4792_99_CDS_0373","KPL1938_CDC4791_99_CDS_0699" "KPL1938_CDC4791_99_CDS_0701" "KPL1938_CDC4791_99_CDS_0700","KPL1937_CDC4199_99_CDS_0486" "KPL1937_CDC4199_99_CDS_0485" "KPL1937_CDC4199_99_CDS_0484","KPL1933_CDC4545_98_CDS_1521" "KPL1933_CDC4545_98_CDS_1523" "KPL1933_CDC4545_98_CDS_1522","KPL1932_CDC4420_98_CDS_0521" "KPL1932_CDC4420_98_CDS_0523" "KPL1932_CDC4420_98_CDS_0522","KPL1931_CDC4294_98_CDS_0416" "KPL1931_CDC4294_98_CDS_0418" "KPL1931_CDC4294_98_CDS_0417","KPL1930_CDC2949_98_CDS_1153" "KPL1930_CDC2949_98_CDS_1155" "KPL1930_CDC2949_98_CDS_1154","KPL1922_CDC39_95_CDS_0487" "KPL1922_CDC39_95_CDS_0485" "KPL1922_CDC39_95_CDS_0486"
"GC_00000005","persistent","ABC-type transport system, periplasmic component (DdpA) (PDB:3RQT)","28","79","2.82","NA","NA","","","","1799","1856","1849.05","ATCC_51524_CDS_0119" "ATCC_51524_CDS_0118","KPL3033_CDS_0669" "KPL3033_CDS_0406" "KPL3033_CDS_0405","KPL3043_CDS_0423" "KPL3043_CDS_0422" "KPL3043_CDS_0681","KPL3050_CDS_0426" "KPL3050_CDS_0773" "KPL3050_CDS_0428","KPL3052_CDS_0418" "KPL3052_CDS_0417","KPL3065_CDS_0410" "KPL3065_CDS_0411" "KPL3065_CDS_0667","KPL3069_CDS_0774" "KPL3069_CDS_0432" "KPL3069_CDS_0433","KPL3070_CDS_0450" "KPL3070_CDS_0705" "KPL3070_CDS_0449","KPL3077_CDS_1625" "KPL3077_CDS_1624","KPL3084_CDS_0455" "KPL3084_CDS_0454" "KPL3084_CDS_0715","KPL3086_CDS_0667" "KPL3086_CDS_0408" "KPL3086_CDS_0409","KPL3090_CDS_0519" "KPL3090_CDS_0518" "KPL3090_CDS_0789","KPL3246_CDS_0431" "KPL3246_CDS_0701" "KPL3246_CDS_0430","KPL3250_CDS_0671" "KPL3250_CDS_0404" "KPL3250_CDS_0405","KPL3256_CDS_0311" "KPL3256_CDS_1767" "KPL3256_CDS_1768","KPL3264_CDS_0826" "KPL3264_CDS_0827" "KPL3264_CDS_0559","KPL3274_CDS_0420" "KPL3274_CDS_0421" "KPL3274_CDS_0677","KPL3911_CDS_0457" "KPL3911_CDS_0456" "KPL3911_CDS_0734","KPL1914_CDS_1662" "KPL1914_CDS_1663","KPL1934_CDC4709_98_CDS_0776" "KPL1934_CDC4709_98_CDS_0777" "KPL1934_CDC4709_98_CDS_1081","KPL1939_CDC4792_99_CDS_1286" "KPL1939_CDC4792_99_CDS_0588" "KPL1939_CDC4792_99_CDS_0589","KPL1938_CDC4791_99_CDS_1690" "KPL1938_CDC4791_99_CDS_1194","KPL1937_CDC4199_99_CDS_1531" "KPL1937_CDC4199_99_CDS_0004" "KPL1937_CDC4199_99_CDS_1530","KPL1933_CDC4545_98_CDS_1257" "KPL1933_CDC4545_98_CDS_0674" "KPL1933_CDC4545_98_CDS_0673","KPL1932_CDC4420_98_CDS_1421" "KPL1932_CDC4420_98_CDS_1761" "KPL1932_CDC4420_98_CDS_1762","KPL1931_CDC4294_98_CDS_1207" "KPL1931_CDC4294_98_CDS_1208" "KPL1931_CDC4294_98_CDS_0635","KPL1930_CDC2949_98_CDS_0691" "KPL1930_CDC2949_98_CDS_1456" "KPL1930_CDC2949_98_CDS_0692","KPL1922_CDC39_95_CDS_1694" "KPL1922_CDC39_95_CDS_1413" "KPL1922_CDC39_95_CDS_1693"
"GC_00000006","persistent","D-serine dehydratase (DsdA) (PDB:3R0Z)","28","58","2.07","NA","NA","","","","95","1340","1314.76","ATCC_51524_CDS_1460" "ATCC_51524_CDS_1360","KPL3033_CDS_1443" "KPL3033_CDS_0551","KPL3043_CDS_1366" "KPL3043_CDS_0568","KPL3050_CDS_0661" "KPL3050_CDS_1454","KPL3052_CDS_0655" "KPL3052_CDS_1439","KPL3065_CDS_1346" "KPL3065_CDS_0554","KPL3069_CDS_0661" "KPL3069_CDS_1518" "KPL3069_CDS_1519","KPL3070_CDS_1357" "KPL3070_CDS_0595","KPL3077_CDS_0832" "KPL3077_CDS_0028","KPL3084_CDS_0605" "KPL3084_CDS_1382","KPL3086_CDS_0553" "KPL3086_CDS_1359","KPL3090_CDS_0675" "KPL3090_CDS_1547","KPL3246_CDS_0583" "KPL3246_CDS_1355","KPL3250_CDS_0555" "KPL3250_CDS_1350","KPL3256_CDS_0210" "KPL3256_CDS_0961","KPL3264_CDS_1620" "KPL3264_CDS_0671","KPL3274_CDS_0575" "KPL3274_CDS_1315","KPL3911_CDS_0613" "KPL3911_CDS_1406","KPL1914_CDS_0688" "KPL1914_CDS_1509","KPL1934_CDC4709_98_CDS_0005" "KPL1934_CDC4709_98_CDS_0976" "KPL1934_CDC4709_98_CDS_1743","KPL1939_CDC4792_99_CDS_0168" "KPL1939_CDC4792_99_CDS_1555","KPL1938_CDC4791_99_CDS_0994" "KPL1938_CDC4791_99_CDS_1593","KPL1937_CDC4199_99_CDS_0563" "KPL1937_CDC4199_99_CDS_1634","KPL1933_CDC4545_98_CDS_1357" "KPL1933_CDC4545_98_CDS_0173","KPL1932_CDC4420_98_CDS_0372" "KPL1932_CDC4420_98_CDS_1294","KPL1931_CDC4294_98_CDS_1779" "KPL1931_CDC4294_98_CDS_0702","KPL1930_CDC2949_98_CDS_1561" "KPL1930_CDC2949_98_CDS_0337","KPL1922_CDC39_95_CDS_0740" "KPL1922_CDC39_95_CDS_1537"
"GC_00000007","persistent","Branched-chain amino acid permease (BrnQ)","28","58","2.07","NA","NA","","","","557","1370","1301.36","ATCC_51524_CDS_0709" "ATCC_51524_CDS_0193","KPL3033_CDS_0324" "KPL3033_CDS_1312","KPL3043_CDS_0341" "KPL3043_CDS_1216","KPL3050_CDS_1326" "KPL3050_CDS_0344","KPL3052_CDS_0328" "KPL3052_CDS_1316","KPL3065_CDS_1200" "KPL3065_CDS_0328","KPL3069_CDS_1308" "KPL3069_CDS_0336","KPL3070_CDS_0342" "KPL3070_CDS_1228","KPL3077_CDS_1543" "KPL3077_CDS_0701","KPL3084_CDS_1252" "KPL3084_CDS_0347","KPL3086_CDS_0326" "KPL3086_CDS_1212","KPL3090_CDS_0436" "KPL3090_CDS_1338","KPL3246_CDS_1232" "KPL3246_CDS_0342","KPL3250_CDS_1221" "KPL3250_CDS_0320","KPL3256_CDS_1674" "KPL3256_CDS_0829","KPL3264_CDS_1753" "KPL3264_CDS_1752" "KPL3264_CDS_0912","KPL3274_CDS_0333" "KPL3274_CDS_1189","KPL3911_CDS_0349" "KPL3911_CDS_1278","KPL1914_CDS_1745" "KPL1914_CDS_0814","KPL1934_CDC4709_98_CDS_0693" "KPL1934_CDC4709_98_CDS_1615" "KPL1934_CDC4709_98_CDS_1616","KPL1939_CDC4792_99_CDS_0506" "KPL1939_CDC4792_99_CDS_0065","KPL1938_CDC4791_99_CDS_1276" "KPL1938_CDC4791_99_CDS_0855","KPL1937_CDC4199_99_CDS_1369" "KPL1937_CDC4199_99_CDS_0794","KPL1933_CDC4545_98_CDS_0755" "KPL1933_CDC4545_98_CDS_1673","KPL1932_CDC4420_98_CDS_1679" "KPL1932_CDC4420_98_CDS_0677","KPL1931_CDC4294_98_CDS_1243" "KPL1931_CDC4294_98_CDS_0258","KPL1930_CDC2949_98_CDS_1006" "KPL1930_CDC2949_98_CDS_1644","KPL1922_CDC39_95_CDS_0337" "KPL1922_CDC39_95_CDS_1616"
"GC_00000008","persistent","Transposase InsE and inactivated derivatives (InsE) (PDB:2JN6) (PUBMED:23818957)","24","57","2.38","NA","NA","","","","110","548","304.68","ATCC_51524_CDS_0699" "ATCC_51524_CDS_0911","","KPL3043_CDS_1396" "KPL3043_CDS_0158","KPL3050_CDS_0835" "KPL3050_CDS_1680" "KPL3050_CDS_1681" "KPL3050_CDS_0562" "KPL3050_CDS_0566" "KPL3050_CDS_1484","KPL3052_CDS_0562" "KPL3052_CDS_0132" "KPL3052_CDS_1469","KPL3065_CDS_0143" "KPL3065_CDS_1376","KPL3069_CDS_0564" "KPL3069_CDS_0406","KPL3070_CDS_0423" "KPL3070_CDS_0424","KPL3077_CDS_1773" "KPL3077_CDS_0858","KPL3084_CDS_0428" "KPL3084_CDS_0429" "KPL3084_CDS_0784" "KPL3084_CDS_0783","KPL3086_CDS_1389" "KPL3086_CDS_0142","KPL3090_CDS_0040" "KPL3090_CDS_1579","KPL3246_CDS_1383","KPL3250_CDS_0848","KPL3256_CDS_1742" "KPL3256_CDS_0991" "KPL3256_CDS_1741","KPL3264_CDS_1153","KPL3274_CDS_0500" "KPL3274_CDS_0141" "KPL3274_CDS_0138" "KPL3274_CDS_0160" "KPL3274_CDS_0530" "KPL3274_CDS_0753" "KPL3274_CDS_1346","KPL3911_CDS_0429" "KPL3911_CDS_0430" "KPL3911_CDS_0805" "KPL3911_CDS_0806","KPL1914_CDS_0662","","KPL1939_CDC4792_99_CDS_0747" "KPL1939_CDC4792_99_CDS_1113","","KPL1937_CDC4199_99_CDS_0996" "KPL1937_CDC4199_99_CDS_0593","KPL1933_CDC4545_98_CDS_1086" "KPL1933_CDC4545_98_CDS_0575","","KPL1931_CDC4294_98_CDS_1115","KPL1930_CDC2949_98_CDS_0677" "KPL1930_CDC2949_98_CDS_0013","KPL1922_CDC39_95_CDS_1507"
"GC_00000009","persistent","S-ribosylhomocysteine lyase LuxS, autoinducer biosynthesis (LuxS) (PDB:5E68)","28","56","2.0","NA","NA","","","","470","470","470.0","ATCC_51524_CDS_0103" "ATCC_51524_CDS_0393","KPL3033_CDS_0421" "KPL3033_CDS_0128","KPL3043_CDS_0141" "KPL3043_CDS_0438","KPL3050_CDS_0443" "KPL3050_CDS_0133","KPL3052_CDS_0433" "KPL3052_CDS_0114","KPL3065_CDS_0426" "KPL3065_CDS_0126","KPL3069_CDS_0448" "KPL3069_CDS_0128","KPL3070_CDS_0466" "KPL3070_CDS_0121","KPL3077_CDS_1331" "KPL3077_CDS_1640","KPL3084_CDS_0122" "KPL3084_CDS_0470","KPL3086_CDS_0424" "KPL3086_CDS_0126","KPL3090_CDS_0534" "KPL3090_CDS_0221","KPL3246_CDS_0129" "KPL3246_CDS_0446","KPL3250_CDS_0420" "KPL3250_CDS_0110","KPL3256_CDS_0077" "KPL3256_CDS_1466","KPL3264_CDS_0809" "KPL3264_CDS_1116","KPL3274_CDS_0135" "KPL3274_CDS_0436","KPL3911_CDS_0473" "KPL3911_CDS_0123","KPL1914_CDS_1647" "KPL1914_CDS_0201","KPL1934_CDC4709_98_CDS_0792" "KPL1934_CDC4709_98_CDS_0487","KPL1939_CDC4792_99_CDS_0782" "KPL1939_CDC4792_99_CDS_0180","KPL1938_CDC4791_99_CDS_1323" "KPL1938_CDC4791_99_CDS_0058","KPL1937_CDC4199_99_CDS_0468" "KPL1937_CDC4199_99_CDS_1020","KPL1933_CDC4545_98_CDS_0981" "KPL1933_CDC4545_98_CDS_0388","KPL1932_CDC4420_98_CDS_1157" "KPL1932_CDC4420_98_CDS_1637","KPL1931_CDC4294_98_CDS_1809" "KPL1931_CDC4294_98_CDS_0211","KPL1930_CDC2949_98_CDS_0504" "KPL1930_CDC2949_98_CDS_1202","KPL1922_CDC39_95_CDS_0542" "KPL1922_CDC39_95_CDS_0093"
"GC_00000010","persistent","Chromatin segregation and condensation protein Rec8/ScpA/Scc1, kleisin family (ScpA) (PDB:3W6J)","28","55","1.96","NA","NA","","","","551","1337","673.18","ATCC_51524_CDS_0769" "ATCC_51524_CDS_0768","KPL3033_CDS_1197" "KPL3033_CDS_1198","KPL3043_CDS_1151","KPL3050_CDS_1260" "KPL3050_CDS_1261","KPL3052_CDS_1251" "KPL3052_CDS_1252","KPL3065_CDS_1131" "KPL3065_CDS_1132","KPL3069_CDS_1245" "KPL3069_CDS_1244","KPL3070_CDS_1164" "KPL3070_CDS_1165","KPL3077_CDS_0637" "KPL3077_CDS_0638","KPL3084_CDS_1188" "KPL3084_CDS_1189","KPL3086_CDS_1145" "KPL3086_CDS_1146","KPL3090_CDS_1276" "KPL3090_CDS_1277","KPL3246_CDS_1168" "KPL3246_CDS_1169","KPL3250_CDS_1157" "KPL3250_CDS_1158","KPL3256_CDS_0763" "KPL3256_CDS_0764","KPL3264_CDS_0059" "KPL3264_CDS_0060","KPL3274_CDS_1129" "KPL3274_CDS_1128","KPL3911_CDS_1214" "KPL3911_CDS_1213","KPL1914_CDS_0878" "KPL1914_CDS_0877","KPL1934_CDC4709_98_CDS_1548" "KPL1934_CDC4709_98_CDS_1547","KPL1939_CDC4792_99_CDS_0262" "KPL1939_CDC4792_99_CDS_0263","KPL1938_CDC4791_99_CDS_0787" "KPL1938_CDC4791_99_CDS_0788","KPL1937_CDC4199_99_CDS_0255" "KPL1937_CDC4199_99_CDS_0256","KPL1933_CDC4545_98_CDS_1610" "KPL1933_CDC4545_98_CDS_1609","KPL1932_CDC4420_98_CDS_0610" "KPL1932_CDC4420_98_CDS_0609","KPL1931_CDC4294_98_CDS_0321" "KPL1931_CDC4294_98_CDS_0322","KPL1930_CDC2949_98_CDS_1065" "KPL1930_CDC2949_98_CDS_1066","KPL1922_CDC39_95_CDS_0398" "KPL1922_CDC39_95_CDS_0399"
