gene	contig	start	stop	strand	ori	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
KPL3911___1	c_000000000001	1	1338	+	F	GC_00000444	1	persistent	2	0	0
KPL3911___2	c_000000000001	1569	2705	+	F	GC_00000336	1	persistent	2	0	0
KPL3911___3	c_000000000001	2922	3158	+	F	GC_00000607	1	persistent	2	0	0
KPL3911___4	c_000000000001	3161	4306	+	F	GC_00001106	1	persistent	2	0	0
KPL3911___5	c_000000000001	4309	5259	+	F	GC_00000126	2	persistent	3	0	0
KPL3911___6	c_000000000001	5433	6254	+	F	GC_00000126	2	persistent	3	0	0
KPL3911___7	c_000000000001	6349	9012	+	F	GC_00001181	1	persistent	2	0	0
KPL3911___8	c_000000000001	9159	9896	+	F	GC_00000591	1	persistent	2	0	0
KPL3911___9	c_000000000001	9992	11287	-	F	GC_00001127	1	persistent	3	0	0
KPL3911___10	c_000000000001	11549	12886	-	F	GC_00000748	1	persistent	3	0	0
KPL3911___11	c_000000000001	13207	13506	+	F	GC_00000291	1	persistent	2	0	0
KPL3911___12	c_000000000001	13561	14076	+	F	GC_00000389	1	persistent	2	0	0
KPL3911___13	c_000000000001	14106	14342	+	F	GC_00000223	1	persistent	3	0	0
KPL3911___14	c_000000000001	14651	15937	-	F	GC_00000003	8	persistent	67	8	12
KPL3911___15	c_000000000001	16196	18187	+	F	GC_00000704	1	persistent	3	0	0
KPL3911___16	c_000000000001	18203	18655	+	F	GC_00000477	1	persistent	2	0	0
KPL3911___17	c_000000000001	18836	20230	+	F	GC_00000425	1	persistent	2	1	0
KPL3911___18	c_000000000001	21174	21902	-	F	GC_00001550	1	shell	2	1	0
KPL3911___19	c_000000000001	22072	22353	-	F	GC_00001499	2	shell	0	3	1
KPL3911___20	c_000000000001	22386	22793	-	F	GC_00001499	2	shell	0	3	1
KPL3911___21	c_000000000001	22806	23111	-	F	GC_00001556	1	shell	0	2	1
KPL3911___22	c_000000000001	23095	23337	-	F	GC_00001557	1	shell	2	1	1
KPL3911___23	c_000000000001	23671	23799	+	F	GC_00000002	8	persistent	37	10	4
KPL3911___24	c_000000000001	23762	24715	-	F	GC_00000976	1	persistent	3	1	0
KPL3911___25	c_000000000001	24786	25166	+	F	GC_00000274	1	persistent	2	0	0
KPL3911___26	c_000000000001	25163	25867	+	F	GC_00000525	1	persistent	2	0	0
KPL3911___27	c_000000000001	26004	26396	+	F	GC_00000273	1	persistent	2	0	0
KPL3911___28	c_000000000001	26393	27097	+	F	GC_00000589	1	persistent	2	0	0
KPL3911___29	c_000000000001	27223	28329	+	F	GC_00000096	1	persistent	5	0	0
KPL3911___30	c_000000000001	28663	29040	-	F	GC_00000554	1	persistent	4	0	0
KPL3911___31	c_000000000001	29059	29502	-	F	GC_00000440	1	persistent	2	0	0
KPL3911___32	c_000000000001	29653	30171	+	F	GC_00000779	1	persistent	2	0	0
KPL3911___33	c_000000000001	30249	30959	+	F	GC_00000433	1	persistent	2	0	0
KPL3911___34	c_000000000001	30967	32838	+	F	GC_00000514	1	persistent	2	0	0
KPL3911___35	c_000000000001	32835	34157	+	F	GC_00000916	1	persistent	2	0	0
KPL3911___36	c_000000000001	34147	35010	+	F	GC_00000519	1	persistent	2	0	0
KPL3911___37	c_000000000001	35141	35953	+	F	GC_00000402	1	persistent	3	0	0
KPL3911___38	c_000000000001	36057	37259	+	F	GC_00000993	1	persistent	3	0	0
KPL3911___39	c_000000000001	37480	37959	+	F	GC_00000852	1	persistent	3	0	1
KPL3911___40	c_000000000001	38059	39405	+	F	GC_00000363	1	persistent	2	0	1
KPL3911___41	c_000000000001	39414	40865	+	F	GC_00000142	1	persistent	3	0	0
KPL3911___42	c_000000000001	40939	41493	-	F	GC_00001344	1	persistent	2	0	0
KPL3911___43	c_000000000001	41874	42374	+	F	GC_00000377	1	persistent	2	0	0
KPL3911___44	c_000000000001	42360	42812	-	F	GC_00000954	1	persistent	2	0	0
KPL3911___45	c_000000000001	42863	43504	+	F	GC_00000812	1	persistent	2	0	0
KPL3911___46	c_000000000001	43491	44360	-	F	GC_00001073	1	persistent	2	0	0
KPL3911___47	c_000000000001	44431	44958	-	F	GC_00000975	1	persistent	2	0	2
KPL3911___48	c_000000000001	45182	45460	+	F	GC_00001959	1	cloud	2	0	0
KPL3911___49	c_000000000001	45751	47409	+	F	GC_00000912	1	persistent	2	0	2
KPL3911___50	c_000000000001	47409	48257	+	F	GC_00001295	1	persistent	2	0	0
KPL3911___51	c_000000000001	48316	49905	+	F	GC_00000069	1	persistent	4	0	2
KPL3911___52	c_000000000001	50058	50642	+	F	GC_00001337	1	persistent	2	0	1
KPL3911___53	c_000000000001	50676	50867	+	F	GC_00000234	1	persistent	3	0	0
KPL3911___54	c_000000000001	50836	51252	+	F	GC_00000289	1	persistent	2	0	0
KPL3911___55	c_000000000001	51436	51753	-	F	GC_00000280	1	persistent	2	0	0
KPL3911___56	c_000000000001	51865	52077	-	F	GC_00000431	1	persistent	2	0	0
KPL3911___57	c_000000000001	52130	53260	-	F	GC_00001146	1	persistent	2	2	1
KPL3911___58	c_000000000001	53781	55982	+	F	GC_00001168	1	persistent	2	2	1
KPL3911___59	c_000000000001	55963	56526	+	F	GC_00000759	1	persistent	2	0	0
KPL3911___60	c_000000000001	56636	57565	-	F	GC_00000945	1	persistent	2	0	0
KPL3911___61	c_000000000001	57611	58285	-	F	GC_00000371	1	persistent	2	0	0
KPL3911___62	c_000000000001	58282	59016	-	F	GC_00000508	1	persistent	2	0	1
KPL3911___63	c_000000000001	59271	59684	+	F	GC_00000581	1	persistent	2	0	1
KPL3911___64	c_000000000001	59751	59972	-	F	GC_00000544	1	persistent	2	0	0
KPL3911___65	c_000000000001	60212	61876	+	F	GC_00000960	1	persistent	2	0	0
KPL3911___66	c_000000000001	62019	62870	+	F	GC_00001032	1	persistent	2	0	0
KPL3911___67	c_000000000001	62860	63444	+	F	GC_00001080	1	persistent	2	0	0
KPL3911___68	c_000000000001	63446	64069	+	F	GC_00001117	1	persistent	2	0	0
KPL3911___69	c_000000000001	64101	64688	+	F	GC_00001035	1	persistent	2	0	0
KPL3911___70	c_000000000001	64918	66048	-	F	GC_00001206	1	persistent	2	0	0
KPL3911___71	c_000000000001	66141	67502	+	F	GC_00001205	1	persistent	2	0	1
KPL3911___72	c_000000000001	67517	67723	+	F	GC_00000066	1	persistent	3	1	1
KPL3911___73	c_000000000001	67940	68656	+	F	GC_00001237	1	persistent	2	0	2
KPL3911___74	c_000000000001	68677	69441	+	F	GC_00000593	1	persistent	2	0	0
KPL3911___75	c_000000000001	69431	70354	+	F	GC_00001230	1	persistent	2	0	0
KPL3911___76	c_000000000001	70355	70543	+	F	GC_00000449	1	persistent	2	0	0
KPL3911___77	c_000000000001	70601	71701	+	F	GC_00000696	1	persistent	2	0	0
KPL3911___78	c_000000000001	71718	72401	+	F	GC_00000408	1	persistent	3	0	0
KPL3911___79	c_000000000001	72511	73029	-	F	GC_00001375	1	persistent	2	0	0
KPL3911___80	c_000000000001	73069	73512	-	F	GC_00000509	1	persistent	4	0	1
