locus_tag	ftype	length_bp	gene	EC_number	COG	product
OGOEKMLN_00001	tRNA	75				tRNA-Phe(gaa)
OGOEKMLN_00002	tRNA	83				tRNA-Tyr(gta)
OGOEKMLN_00003	tRNA	73				tRNA-Trp(cca)
OGOEKMLN_00004	tRNA	75				tRNA-His(gtg)
OGOEKMLN_00005	tRNA	74				tRNA-Gln(ttg)
OGOEKMLN_00006	tRNA	73				tRNA-Cys(gca)
OGOEKMLN_00007	tRNA	85				tRNA-Leu(caa)
OGOEKMLN_00008	CDS	1599				hypothetical protein
OGOEKMLN_00009	CDS	546	yajL	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
OGOEKMLN_00010	CDS	1395				hypothetical protein
OGOEKMLN_00011	CDS	474	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
OGOEKMLN_00012	CDS	1239	sufS_1	2.8.1.7	COG0520	Cysteine desulfurase SufS
OGOEKMLN_00013	CDS	1293				hypothetical protein
OGOEKMLN_00014	CDS	774				putative ABC transporter ATP-binding protein
OGOEKMLN_00015	CDS	369	gcvH_1			Glycine cleavage system H protein
OGOEKMLN_00016	CDS	1062				hypothetical protein
OGOEKMLN_00017	CDS	231				hypothetical protein
OGOEKMLN_00018	CDS	738	cobB_1	2.3.1.286	COG0846	NAD-dependent protein deacetylase
OGOEKMLN_00019	CDS	1212	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
OGOEKMLN_00020	tmRNA	358	ssrA			transfer-messenger RNA, SsrA
OGOEKMLN_00021	CDS	339				hypothetical protein
OGOEKMLN_00022	CDS	111				hypothetical protein
OGOEKMLN_00023	CDS	732	nagB	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
OGOEKMLN_00024	CDS	1134	nagA	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
OGOEKMLN_00025	CDS	843	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
OGOEKMLN_00026	CDS	1482	pncB2	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase pncB2
OGOEKMLN_00027	CDS	1104	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
OGOEKMLN_00028	CDS	735	tarA	2.4.1.187		N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase
OGOEKMLN_00029	CDS	921	coaA	2.7.1.33		Pantothenate kinase
OGOEKMLN_00030	CDS	966	galK_1	2.7.1.6		Galactokinase
OGOEKMLN_00031	CDS	1011				hypothetical protein
OGOEKMLN_00032	CDS	1107		2.7.4.2		Phosphomevalonate kinase
OGOEKMLN_00033	CDS	1053	fni	5.3.3.2		Isopentenyl-diphosphate delta-isomerase
OGOEKMLN_00034	CDS	480				hypothetical protein
OGOEKMLN_00035	CDS	330				hypothetical protein
OGOEKMLN_00036	CDS	693				hypothetical protein
OGOEKMLN_00037	CDS	1323	pdp	2.4.2.2	COG0213	Pyrimidine-nucleoside phosphorylase
OGOEKMLN_00038	CDS	1608	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
OGOEKMLN_00039	CDS	867				hypothetical protein
OGOEKMLN_00040	CDS	1194		2.3.1.-		Putative pyridoxal phosphate-dependent acyltransferase
OGOEKMLN_00041	CDS	675	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
OGOEKMLN_00042	CDS	909	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
OGOEKMLN_00043	CDS	6066				hypothetical protein
OGOEKMLN_00044	CDS	246				hypothetical protein
OGOEKMLN_00045	CDS	147				hypothetical protein
OGOEKMLN_00046	CDS	804				hypothetical protein
OGOEKMLN_00047	CDS	924	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
OGOEKMLN_00048	CDS	4479				hypothetical protein
OGOEKMLN_00049	CDS	699				hypothetical protein
OGOEKMLN_00050	CDS	228				hypothetical protein
OGOEKMLN_00051	CDS	1242				hypothetical protein
OGOEKMLN_00052	CDS	1143	npr	1.11.1.1	COG0446	NADH peroxidase
OGOEKMLN_00053	CDS	126				hypothetical protein
OGOEKMLN_00054	CDS	1107	yjhC	1.-.-.-	COG0673	putative oxidoreductase YjhC
OGOEKMLN_00055	CDS	1272	nanM	5.1.3.24		N-acetylneuraminate epimerase
OGOEKMLN_00056	CDS	891	nanA_1	4.1.3.3	COG0329	N-acetylneuraminate lyase
OGOEKMLN_00057	CDS	1545	sglT			Sodium/glucose cotransporter
OGOEKMLN_00058	CDS	441				hypothetical protein
OGOEKMLN_00059	CDS	843	rpiR		COG1737	HTH-type transcriptional regulator RpiR
OGOEKMLN_00060	CDS	678	nanE	5.1.3.9		Putative N-acetylmannosamine-6-phosphate 2-epimerase
OGOEKMLN_00061	CDS	888	bglK_1	2.7.1.85	COG1940	Beta-glucoside kinase
OGOEKMLN_00062	CDS	423				hypothetical protein
OGOEKMLN_00063	CDS	141				hypothetical protein
OGOEKMLN_00064	CDS	1875	cadA_1	3.6.3.3		Cadmium-transporting ATPase
OGOEKMLN_00065	CDS	216	copZ			Copper chaperone CopZ
OGOEKMLN_00066	CDS	894				hypothetical protein
OGOEKMLN_00067	CDS	1374	mepA			Multidrug export protein MepA
OGOEKMLN_00068	CDS	1362	dapE_1	3.5.1.18		Succinyl-diaminopimelate desuccinylase
OGOEKMLN_00069	tRNA	73				tRNA-Thr(tgt)
OGOEKMLN_00070	CDS	870	pagL	3.2.1.-	COG1486	Phospho-alpha-glucosidase PagL
OGOEKMLN_00071	CDS	1644				hypothetical protein
OGOEKMLN_00072	CDS	1038	yqeN		COG1466	putative protein YqeN
OGOEKMLN_00073	CDS	2331	comEC		COG0658	ComE operon protein 3
OGOEKMLN_00074	CDS	648				hypothetical protein
OGOEKMLN_00075	CDS	1296	mvaA	1.1.1.88		3-hydroxy-3-methylglutaryl-coenzyme A reductase
OGOEKMLN_00076	CDS	1212	thlA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
OGOEKMLN_00077	CDS	1170	mvaS	2.3.3.10	COG3425	Hydroxymethylglutaryl-CoA synthase
OGOEKMLN_00078	CDS	918	pyrD	1.3.1.14	COG0167	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit
OGOEKMLN_00079	CDS	1311	pyrC	3.5.2.3		Dihydroorotase
OGOEKMLN_00080	CDS	888	pyrB	2.1.3.2		Aspartate carbamoyltransferase
OGOEKMLN_00081	CDS	201				hypothetical protein
OGOEKMLN_00082	CDS	1356				hypothetical protein
OGOEKMLN_00083	CDS	621	pyrE	2.4.2.10		Orotate phosphoribosyltransferase
OGOEKMLN_00084	CDS	699	pyrF	4.1.1.23		Orotidine 5'-phosphate decarboxylase
OGOEKMLN_00085	CDS	2490				hypothetical protein
OGOEKMLN_00086	CDS	1311				hypothetical protein
OGOEKMLN_00087	CDS	834	ybbA		COG2819	putative protein YbbA
OGOEKMLN_00088	CDS	1185				hypothetical protein
OGOEKMLN_00089	CDS	738				hypothetical protein
OGOEKMLN_00090	CDS	834				hypothetical protein
OGOEKMLN_00091	CDS	306				hypothetical protein
OGOEKMLN_00092	CDS	783	gutB	1.1.1.-	COG1063	Sorbitol dehydrogenase
OGOEKMLN_00093	CDS	375				hypothetical protein
OGOEKMLN_00094	CDS	915				hypothetical protein
OGOEKMLN_00095	CDS	1233	ylmB	3.5.1.-	COG0624	N-formyl-4-amino-5-aminomethyl-2-methylpyrimidine deformylase
OGOEKMLN_00096	CDS	699	ykoC			Putative HMP/thiamine permease protein YkoC
OGOEKMLN_00097	CDS	1467	ykoD	3.6.3.-	COG1122	Putative HMP/thiamine import ATP-binding protein YkoD
OGOEKMLN_00098	CDS	567	ykoE		COG4721	Putative HMP/thiamine permease protein YkoE
OGOEKMLN_00099	CDS	630	ykoF			Putative HMP/thiamine-binding protein YkoF
OGOEKMLN_00100	CDS	1221	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
OGOEKMLN_00101	CDS	780				hypothetical protein
OGOEKMLN_00102	CDS	777				hypothetical protein
OGOEKMLN_00103	CDS	963	btuD_3	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
OGOEKMLN_00104	CDS	1656	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
OGOEKMLN_00105	CDS	750				hypothetical protein
OGOEKMLN_00106	CDS	744				hypothetical protein
OGOEKMLN_00107	CDS	933	bcrA_1			Bacitracin transport ATP-binding protein BcrA
OGOEKMLN_00108	CDS	711	sphR		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein SphR
OGOEKMLN_00109	CDS	1353	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
OGOEKMLN_00110	CDS	945	yqjG	1.8.5.7	COG0435	Glutathionyl-hydroquinone reductase YqjG
