items	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs	SCG	functional_homogeneity_index	geometric_homogeneity_index	combined_homogeneity_index
GC_00000001	28	149	14	0	0.966147055513333	0.889792236416344	0.926398996961209
GC_00000002	28	131	11	0	0.759004723060576	0.763546430552543	0.761268802943201
GC_00000003	25	92	12	0	0.98242756316223	0.856400862366484	0.915095503880766
GC_00000004	28	82	3	0	0.856965233419138	0.908423602786419	0.881944451941321
GC_00000005	28	79	3	0	0.814122390367834	0.978097046413502	0.888608491902024
GC_00000006	28	58	3	0	0.901033551689324	0.97794792290484	0.937916527923688
GC_00000007	28	58	3	0	0.884536607724317	0.92854184824526	0.906005202226849
GC_00000008	24	57	7	0	0.907844809732913	0.634276918542485	0.746795791634612
GC_00000009	28	56	2	0	0.90251554001554	1.0	0.948760229320564
GC_00000010	28	55	2	0	0.718967119047537	0.700383928270472	0.709553871239009
GC_00000011	28	55	2	0	0.799864885062625	0.701869562905122	0.747669893331391
GC_00000012	28	55	2	0	0.829916790728547	0.689248838208663	0.753070202384306
GC_00000013	28	55	2	0	0.682414646344995	0.710889275818274	0.696360996378692
GC_00000014	28	49	3	0	0.883894496634739	0.962816894112431	0.921669252961729
GC_00000015	28	49	2	0	0.635031702698484	0.737012798871724	0.68223223378318
GC_00000016	26	47	3	0	0.793913313295941	0.973512089372233	0.874587642839565
GC_00000017	28	45	3	0	0.862825582335025	0.93731164365917	0.898527571222207
GC_00000018	28	43	2	0	0.896149004035609	0.931368539467597	0.913419399995514
GC_00000019	27	43	2	0	0.978822044615436	0.801309982915686	0.881215397192868
GC_00000020	21	41	2	0	0.643885820690239	0.7047946483769	0.67296485861049
GC_00000021	28	41	2	0	0.895592491239828	0.846439917183811	0.870322768336387
GC_00000022	21	41	4	0	0.894994981293914	0.731753573565421	0.805183780773752
GC_00000023	28	40	2	0	0.863697804191503	0.694134649826688	0.769688128299255
GC_00000024	28	40	3	0	0.828652168162374	0.726320746332096	0.774119286090685
GC_00000025	28	38	3	0	0.894924943726429	0.957409805720881	0.925113472889866
