gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	c_000000000008	112	448	f	0	1	Prodigal	002006
2	c_000000000008	481	1855	f	0	1	Prodigal	002006
3	c_000000000008	2023	2197	r	0	1	Prodigal	002006
4	c_000000000008	2193	2790	r	0	1	Prodigal	002006
5	c_000000000008	3081	3795	f	0	1	Prodigal	002006
6	c_000000000008	3879	4893	f	0	1	Prodigal	002006
7	c_000000000008	4909	7240	f	0	1	Prodigal	002006
8	c_000000000012	448	2047	r	0	1	Prodigal	002006
9	c_000000000012	2230	2776	r	0	1	Prodigal	002006
10	c_000000000012	2921	4316	r	0	1	Prodigal	002006
11	c_000000000012	4335	4809	r	0	1	Prodigal	002006
12	c_000000000012	4795	6034	r	0	1	Prodigal	002006
13	c_000000000012	6030	7323	r	0	1	Prodigal	002006
14	c_000000000012	7335	8109	r	0	1	Prodigal	002006
15	c_000000000012	8315	8684	r	0	1	Prodigal	002006
16	c_000000000012	8701	9763	r	0	1	Prodigal	002006
17	c_000000000012	9772	10003	r	0	1	Prodigal	002006
18	c_000000000012	10075	10813	r	0	1	Prodigal	002006
19	c_000000000012	10874	12086	r	0	1	Prodigal	002006
20	c_000000000012	13103	13442	f	0	1	Prodigal	002006
21	c_000000000012	13826	14558	r	0	1	Prodigal	002006
22	c_000000000012	14550	15684	r	0	1	Prodigal	002006
23	c_000000000012	15703	16546	r	0	1	Prodigal	002006
24	c_000000000012	16558	18040	r	0	1	Prodigal	002006
25	c_000000000012	18036	19140	r	0	1	Prodigal	002006
26	c_000000000012	19139	19874	r	0	1	Prodigal	002006
27	c_000000000012	19966	20887	r	0	1	Prodigal	002006
28	c_000000000012	21021	21987	f	0	1	Prodigal	002006
29	c_000000000012	21970	22981	f	0	1	Prodigal	002006
30	c_000000000012	23012	24119	f	0	1	Prodigal	002006
31	c_000000000012	24076	25129	f	0	1	Prodigal	002006
32	c_000000000013	176	791	f	0	1	Prodigal	002006
33	c_000000000013	816	1044	f	0	1	Prodigal	002006
34	c_000000000013	1060	1771	f	0	1	Prodigal	002006
35	c_000000000013	1846	3319	f	0	1	Prodigal	002006
36	c_000000000013	3358	3976	f	0	1	Prodigal	002006
37	c_000000000013	4114	4990	f	0	1	Prodigal	002006
38	c_000000000013	4970	5744	f	0	1	Prodigal	002006
39	c_000000000013	6088	7063	f	0	1	Prodigal	002006
40	c_000000000013	7064	7952	f	0	1	Prodigal	002006
41	c_000000000013	7948	8758	f	0	1	Prodigal	002006
42	c_000000000013	8913	9354	f	0	1	Prodigal	002006
43	c_000000000013	9492	10326	f	0	1	Prodigal	002006
44	c_000000000013	10328	10649	f	0	1	Prodigal	002006
45	c_000000000013	10759	11425	f	0	1	Prodigal	002006
46	c_000000000013	11441	12926	f	0	1	Prodigal	002006
47	c_000000000013	13159	14011	f	0	1	Prodigal	002006
48	c_000000000013	14102	14543	f	0	1	Prodigal	002006
49	c_000000000013	14535	15159	f	0	1	Prodigal	002006
50	c_000000000013	15239	16478	r	0	1	Prodigal	002006
51	c_000000000013	16810	18295	f	0	1	Prodigal	002006
52	c_000000000013	18417	18867	r	0	1	Prodigal	002006
53	c_000000000013	19023	19371	f	0	1	Prodigal	002006
54	c_000000000013	20271	20778	f	0	1	Prodigal	002006
55	c_000000000013	21746	22019	f	0	1	Prodigal	002006
56	c_000000000013	22031	22337	f	0	1	Prodigal	002006
57	c_000000000013	22355	22928	f	0	1	Prodigal	002006
58	c_000000000013	23046	23787	f	0	1	Prodigal	002006
59	c_000000000013	23808	24081	f	0	1	Prodigal	002006
60	c_000000000013	24325	24529	f	0	1	Prodigal	002006
61	c_000000000013	25070	25667	r	0	1	Prodigal	002006
62	c_000000000013	25910	27914	f	0	1	Prodigal	002006
63	c_000000000013	27914	30386	f	0	1	Prodigal	002006
64	c_000000000013	30624	32874	f	0	1	Prodigal	002006
65	c_000000000013	32931	33678	f	0	1	Prodigal	002006
66	c_000000000013	33797	34727	f	0	1	Prodigal	002006
67	c_000000000013	34834	35701	f	0	1	Prodigal	002006
68	c_000000000013	35716	36934	f	0	1	Prodigal	002006
69	c_000000000013	37028	37538	f	0	1	Prodigal	002006
70	c_000000000013	38486	38849	f	0	1	Prodigal	002006
71	c_000000000013	39255	39546	r	0	1	Prodigal	002006
72	c_000000000013	39725	39980	f	0	1	Prodigal	002006
73	c_000000000013	40133	40766	f	0	1	Prodigal	002006
74	c_000000000013	40777	41596	r	0	1	Prodigal	002006
75	c_000000000013	41638	43084	r	0	1	Prodigal	002006
76	c_000000000013	43096	43624	r	0	1	Prodigal	002006
77	c_000000000013	43671	44574	r	0	1	Prodigal	002006
78	c_000000000013	44753	46820	r	0	1	Prodigal	002006
79	c_000000000013	46908	47778	r	0	1	Prodigal	002006
80	c_000000000013	48048	48534	r	0	1	Prodigal	002006
81	c_000000000013	48667	49030	r	0	1	Prodigal	002006
82	c_000000000013	49154	50066	r	0	1	Prodigal	002006
83	c_000000000013	50065	50533	r	0	1	Prodigal	002006
84	c_000000000013	50657	51989	f	0	1	Prodigal	002006
85	c_000000000013	51989	53261	f	0	1	Prodigal	002006
86	c_000000000013	53389	54124	r	0	1	Prodigal	002006
87	c_000000000013	54240	55119	r	0	1	Prodigal	002006
88	c_000000000013	55184	55436	r	0	1	Prodigal	002006
89	c_000000000013	55799	55949	f	0	1	Prodigal	002006
90	c_000000000013	56104	59884	r	0	1	Prodigal	002006
