gene	contig	start	stop	strand	ori	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
KPL1939_CDC4792_99___1	c_000000000001	102	281	+	F	GC_00002820	1	cloud	0	0	1
KPL1939_CDC4792_99___2	c_000000000001	380	967	+	F	GC_00002600	1	cloud	0	0	2
KPL1939_CDC4792_99___3	c_000000000001	998	1852	-	F	GC_00002488	1	cloud	0	0	2
KPL1939_CDC4792_99___4	c_000000000001	2022	2465	+	F	GC_00002614	1	cloud	0	0	2
KPL1939_CDC4792_99___5	c_000000000001	2485	2820	+	F	GC_00002671	1	cloud	0	0	2
KPL1939_CDC4792_99___6	c_000000000001	2771	4177	+	F	GC_00002755	1	cloud	0	0	1
KPL1939_CDC4792_99___7	c_000000000002	221	1783	-	F	GC_00000441	1	persistent	2	0	0
KPL1939_CDC4792_99___8	c_000000000002	2100	3209	-	F	GC_00000374	1	persistent	2	0	0
KPL1939_CDC4792_99___9	c_000000000002	3290	4471	-	F	GC_00000873	1	persistent	2	0	0
KPL1939_CDC4792_99___10	c_000000000002	4565	5149	-	F	GC_00000401	1	persistent	2	0	0
KPL1939_CDC4792_99___11	c_000000000002	5153	5995	-	F	GC_00001024	1	persistent	2	0	0
KPL1939_CDC4792_99___12	c_000000000002	6033	7325	-	F	GC_00001006	1	persistent	2	0	0
KPL1939_CDC4792_99___13	c_000000000002	7329	8573	-	F	GC_00001244	1	persistent	2	0	1
KPL1939_CDC4792_99___14	c_000000000002	8677	9873	-	F	GC_00000698	1	persistent	2	0	1
KPL1939_CDC4792_99___15	c_000000000002	10085	10801	+	F	GC_00001128	1	persistent	2	0	0
KPL1939_CDC4792_99___16	c_000000000002	10879	11385	+	F	GC_00000583	1	persistent	2	0	0
KPL1939_CDC4792_99___17	c_000000000002	11433	12038	-	F	GC_00001153	1	persistent	3	0	0
KPL1939_CDC4792_99___18	c_000000000002	12152	13609	-	F	GC_00000078	1	persistent	4	2	0
KPL1939_CDC4792_99___19	c_000000000002	13921	15012	-	F	GC_00001615	2	shell	3	1	3
KPL1939_CDC4792_99___20	c_000000000007	139	1014	-	F	GC_00000382	1	persistent	3	0	0
KPL1939_CDC4792_99___21	c_000000000007	1070	1825	-	F	GC_00000314	1	persistent	2	0	0
KPL1939_CDC4792_99___22	c_000000000007	2080	4857	-	F	GC_00001264	1	persistent	2	0	0
KPL1939_CDC4792_99___23	c_000000000007	5133	5795	-	F	GC_00000645	1	persistent	2	0	0
KPL1939_CDC4792_99___24	c_000000000007	5875	6657	-	F	GC_00001023	1	persistent	2	0	0
KPL1939_CDC4792_99___25	c_000000000007	6662	6949	-	F	GC_00000360	1	persistent	2	0	0
KPL1939_CDC4792_99___26	c_000000000007	6965	7444	-	F	GC_00000458	1	persistent	2	0	0
KPL1939_CDC4792_99___27	c_000000000007	7468	8691	-	F	GC_00000298	1	persistent	2	0	0
KPL1939_CDC4792_99___28	c_000000000007	8729	10051	-	F	GC_00000099	1	persistent	3	0	0
KPL1939_CDC4792_99___29	c_000000000007	10213	11037	-	F	GC_00000895	1	persistent	2	0	0
KPL1939_CDC4792_99___30	c_000000000007	11037	12191	-	F	GC_00000690	1	persistent	2	0	0
KPL1939_CDC4792_99___31	c_000000000007	12175	13563	-	F	GC_00000205	1	persistent	3	0	0
KPL1939_CDC4792_99___32	c_000000000007	13657	14625	-	F	GC_00000153	1	persistent	4	0	0
KPL1939_CDC4792_99___33	c_000000000007	14671	16917	-	F	GC_00001245	1	persistent	3	0	0
KPL1939_CDC4792_99___34	c_000000000007	16917	17315	-	F	GC_00000499	1	persistent	3	0	0
KPL1939_CDC4792_99___35	c_000000000007	17315	18271	-	F	GC_00001052	1	persistent	2	0	0
KPL1939_CDC4792_99___36	c_000000000007	18290	18721	-	F	GC_00000061	1	persistent	3	0	0
KPL1939_CDC4792_99___37	c_000000000007	18982	19359	-	F	GC_00000777	1	persistent	2	0	0
KPL1939_CDC4792_99___38	c_000000000007	19448	19627	-	F	GC_00000233	1	persistent	2	0	0
KPL1939_CDC4792_99___39	c_000000000007	19652	20218	-	F	GC_00000375	1	persistent	2	0	0
KPL1939_CDC4792_99___40	c_000000000007	20400	21572	-	F	GC_00001045	1	persistent	2	0	0
KPL1939_CDC4792_99___41	c_000000000007	21574	22302	-	F	GC_00001011	1	persistent	2	0	0
KPL1939_CDC4792_99___42	c_000000000007	22304	22660	-	F	GC_00000357	1	persistent	2	0	0
KPL1939_CDC4792_99___43	c_000000000007	22677	23282	-	F	GC_00001159	1	persistent	2	0	0
KPL1939_CDC4792_99___44	c_000000000007	23269	23907	-	F	GC_00000822	1	persistent	2	0	0
KPL1939_CDC4792_99___45	c_000000000007	23923	24237	-	F	GC_00000232	1	persistent	2	0	0
KPL1939_CDC4792_99___46	c_000000000007	24291	25409	-	F	GC_00001018	1	persistent	2	0	0
KPL1939_CDC4792_99___47	c_000000000007	25402	25932	-	F	GC_00000555	1	persistent	2	0	0
KPL1939_CDC4792_99___48	c_000000000007	25955	26194	-	F	GC_00000295	1	persistent	3	0	0
KPL1939_CDC4792_99___49	c_000000000007	26363	28084	-	F	GC_00000841	1	persistent	3	0	0
KPL1939_CDC4792_99___50	c_000000000007	28088	28354	-	F	GC_00000300	1	persistent	2	0	0
KPL1939_CDC4792_99___51	c_000000000007	28672	30849	+	F	GC_00000158	1	persistent	3	0	0
KPL1939_CDC4792_99___52	c_000000000007	31020	31502	-	F	GC_00000827	1	persistent	2	0	0
KPL1939_CDC4792_99___53	c_000000000007	31502	32059	-	F	GC_00000723	1	persistent	2	0	0
KPL1939_CDC4792_99___54	c_000000000007	32093	32422	-	F	GC_00000906	1	persistent	2	0	0
KPL1939_CDC4792_99___55	c_000000000007	32532	32819	-	F	GC_00000399	1	persistent	2	0	0
KPL1939_CDC4792_99___56	c_000000000007	32927	34759	-	F	GC_00000356	1	persistent	2	0	0
KPL1939_CDC4792_99___57	c_000000000007	34976	35752	-	F	GC_00000601	1	persistent	2	1	1
KPL1939_CDC4792_99___58	c_000000000007	36319	37731	-	F	GC_00000102	1	persistent	4	2	2
KPL1939_CDC4792_99___59	c_000000000007	37745	39100	-	F	GC_00000548	1	persistent	2	0	0
KPL1939_CDC4792_99___60	c_000000000007	39202	40185	-	F	GC_00000372	1	persistent	2	0	0
KPL1939_CDC4792_99___61	c_000000000007	40188	41354	-	F	GC_00000225	1	persistent	2	0	0
KPL1939_CDC4792_99___62	c_000000000007	41748	42320	+	F	GC_00000688	1	persistent	2	0	0
KPL1939_CDC4792_99___63	c_000000000007	42387	43280	-	F	GC_00001163	1	persistent	2	0	1
KPL1939_CDC4792_99___64	c_000000000007	43621	45009	+	F	GC_00000042	1	persistent	4	0	1
KPL1939_CDC4792_99___65	c_000000000007	45214	46404	+	F	GC_00000177	1	persistent	3	0	0
KPL1939_CDC4792_99___66	c_000000000007	46460	47791	+	F	GC_00000007	2	persistent	5	2	5
KPL1939_CDC4792_99___67	c_000000000007	47866	48867	-	F	GC_00000041	1	persistent	5	0	1
KPL1939_CDC4792_99___68	c_000000000007	48961	50415	-	F	GC_00001382	1	persistent	2	0	0
KPL1939_CDC4792_99___69	c_000000000007	50437	50736	-	F	GC_00001380	1	persistent	2	0	0
KPL1939_CDC4792_99___70	c_000000000007	50773	51252	-	F	GC_00001384	1	persistent	2	0	0
KPL1939_CDC4792_99___71	c_000000000007	51415	52164	+	F	GC_00000604	1	persistent	3	0	0
KPL1939_CDC4792_99___72	c_000000000007	52179	52607	+	F	GC_00000394	1	persistent	2	0	0
KPL1939_CDC4792_99___73	c_000000000007	52631	53146	+	F	GC_00000455	1	persistent	2	1	1
KPL1939_CDC4792_99___74	c_000000000007	53237	53470	-	F	GC_00001894	1	cloud	2	2	0
KPL1939_CDC4792_99___75	c_000000000007	53421	55883	-	F	GC_00001303	1	persistent	3	1	2
KPL1939_CDC4792_99___76	c_000000000007	55939	56877	-	F	GC_00001410	1	persistent	4	0	0
KPL1939_CDC4792_99___77	c_000000000007	57126	58142	+	F	GC_00001424	1	persistent	2	2	2
KPL1939_CDC4792_99___78	c_000000000007	58163	58339	-	F	GC_00000022	2	shell	5	4	16
KPL1939_CDC4792_99___79	c_000000000007	58493	64723	-	F	GC_00002346	1	cloud	3	1	0
KPL1939_CDC4792_99___80	c_000000000007	66218	67135	+	F	GC_00001286	1	persistent	2	0	1
KPL1939_CDC4792_99___81	c_000000000007	67324	68607	+	F	GC_00001241	1	persistent	2	0	1
KPL1939_CDC4792_99___82	c_000000000007	68684	70021	-	F	GC_00001328	1	persistent	3	0	0
KPL1939_CDC4792_99___83	c_000000000007	70000	70668	-	F	GC_00001360	1	persistent	2	0	0
KPL1939_CDC4792_99___84	c_000000000007	70671	71384	-	F	GC_00001377	1	persistent	2	0	0
KPL1939_CDC4792_99___85	c_000000000007	71377	72129	-	F	GC_00001370	1	persistent	2	0	0
KPL1939_CDC4792_99___86	c_000000000007	72126	72830	-	F	GC_00001346	1	persistent	2	0	0
KPL1939_CDC4792_99___87	c_000000000007	72963	74552	-	F	GC_00000072	1	persistent	3	1	0
KPL1939_CDC4792_99___88	c_000000000007	74746	75585	-	F	GC_00000673	1	persistent	2	1	1
KPL1939_CDC4792_99___89	c_000000000007	75934	77607	+	F	GC_00000528	1	persistent	2	0	0
KPL1939_CDC4792_99___90	c_000000000007	77723	78358	-	F	GC_00001027	1	persistent	2	0	0
KPL1939_CDC4792_99___91	c_000000000007	78363	79421	-	F	GC_00000497	1	persistent	2	0	0
KPL1939_CDC4792_99___92	c_000000000007	79418	80170	-	F	GC_00000484	1	persistent	2	0	0
KPL1939_CDC4792_99___93	c_000000000007	80334	80843	-	F	GC_00000917	1	persistent	3	0	0
KPL1939_CDC4792_99___94	c_000000000007	81098	81274	-	F	GC_00000081	2	persistent	2	1	2
KPL1939_CDC4792_99___95	c_000000000007	81271	82206	-	F	GC_00001802	1	shell	1	2	1
KPL1939_CDC4792_99___96	c_000000000007	82213	82842	-	F	GC_00001801	1	shell	0	1	2
KPL1939_CDC4792_99___97	c_000000000007	82890	86366	-	F	GC_00002425	1	cloud	0	1	1
