locus_tag	ftype	length_bp	gene	EC_number	COG	product
FLLBPJGF_00001	CDS	1302	eno	4.2.1.11	COG0148	Enolase
FLLBPJGF_00002	CDS	1530	gpmI	5.4.2.12		2,3-bisphosphoglycerate-independent phosphoglycerate mutase
FLLBPJGF_00003	CDS	759	tpiA_1	5.3.1.1	COG0149	Triosephosphate isomerase
FLLBPJGF_00004	CDS	1185	pgk	2.7.2.3		Phosphoglycerate kinase
FLLBPJGF_00005	CDS	996	gap	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase
FLLBPJGF_00006	CDS	1029	cggR		COG2390	Central glycolytic genes regulator
FLLBPJGF_00007	CDS	489				hypothetical protein
FLLBPJGF_00008	CDS	414				hypothetical protein
FLLBPJGF_00009	CDS	1983	uvrB_1		COG0556	UvrABC system protein B
FLLBPJGF_00010	CDS	255	rpsT		COG0268	30S ribosomal protein S20
FLLBPJGF_00011	CDS	918				hypothetical protein
FLLBPJGF_00012	CDS	909	dagK_1	2.7.1.107	COG1597	Diacylglycerol kinase
FLLBPJGF_00013	CDS	2409	recD2	3.6.4.12	COG0507	ATP-dependent RecD-like DNA helicase
FLLBPJGF_00014	CDS	642	rex		COG2344	Redox-sensing transcriptional repressor Rex
FLLBPJGF_00015	CDS	1029				hypothetical protein
FLLBPJGF_00016	CDS	1179	murT	6.3.5.13	COG0769	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT
FLLBPJGF_00017	CDS	891	glpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
FLLBPJGF_00018	CDS	840	thiD_1	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
FLLBPJGF_00019	CDS	594				hypothetical protein
FLLBPJGF_00020	CDS	339				Putative glycerol transporter
FLLBPJGF_00021	CDS	381				Putative glycerol transporter
FLLBPJGF_00022	CDS	381	dhaM-2	2.7.1.121	COG3412	PEP-dependent dihydroxyacetone kinase 2, phosphoryl donor subunit DhaM
FLLBPJGF_00023	CDS	582	dhaL	2.7.1.121	COG2376	PTS-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
FLLBPJGF_00024	CDS	657	dhaK_1	2.7.1.121	COG2376	PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
FLLBPJGF_00025	CDS	270	dhaK_2	2.7.1.121	COG2376	PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
FLLBPJGF_00026	CDS	1821	glpO	1.1.3.21	COG0578	Alpha-glycerophosphate oxidase
FLLBPJGF_00027	CDS	1512	glpK	2.7.1.30	COG0554	Glycerol kinase
FLLBPJGF_00028	CDS	5190				hypothetical protein
FLLBPJGF_00029	CDS	228				hypothetical protein
FLLBPJGF_00030	CDS	1074				hypothetical protein
FLLBPJGF_00031	CDS	657	pgpB	3.1.3.27	COG0671	Phosphatidylglycerophosphatase B
FLLBPJGF_00032	CDS	1035	guaC	1.7.1.7		GMP reductase
FLLBPJGF_00033	CDS	540	gmk_1	2.7.4.8	COG0194	Guanylate kinase
FLLBPJGF_00034	CDS	513	crr			PTS system glucose-specific EIIA component
FLLBPJGF_00035	CDS	828	uppP	3.6.1.27		Undecaprenyl-diphosphatase
FLLBPJGF_00036	CDS	624				hypothetical protein
FLLBPJGF_00037	CDS	1005				hypothetical protein
FLLBPJGF_00038	CDS	537				hypothetical protein
FLLBPJGF_00039	CDS	411	spxA_1			Regulatory protein Spx
FLLBPJGF_00040	CDS	627	axe2	3.1.1.72		Acetylxylan esterase
FLLBPJGF_00041	CDS	381	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
FLLBPJGF_00042	CDS	576				hypothetical protein
FLLBPJGF_00043	CDS	1746	arsA	7.3.2.7		Arsenical pump-driving ATPase
FLLBPJGF_00044	CDS	375	arsD			Arsenical resistance operon trans-acting repressor ArsD
FLLBPJGF_00045	CDS	345				hypothetical protein
FLLBPJGF_00046	CDS	1002	lplJ_1	6.3.1.20	COG0095	Lipoate-protein ligase LplJ
FLLBPJGF_00047	CDS	1101	LIAS	2.8.1.8		Lipoyl synthase, organellar chromatophore
FLLBPJGF_00048	CDS	1896	zosA	3.6.3.-	COG2217	Zinc-transporting ATPase
FLLBPJGF_00049	CDS	762	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
FLLBPJGF_00050	tRNA	84				tRNA-Leu(gag)
FLLBPJGF_00051	CDS	465				hypothetical protein
FLLBPJGF_00052	CDS	273				hypothetical protein
FLLBPJGF_00053	CDS	1053				hypothetical protein
FLLBPJGF_00054	CDS	3525	mfd	3.6.4.-		Transcription-repair-coupling factor
FLLBPJGF_00055	CDS	561	pth	3.1.1.29		Peptidyl-tRNA hydrolase
FLLBPJGF_00056	CDS	1971				hypothetical protein
FLLBPJGF_00057	CDS	1461	pbuO		COG2252	Guanine/hypoxanthine permease PbuO
FLLBPJGF_00058	CDS	123				hypothetical protein
FLLBPJGF_00059	CDS	1194				hypothetical protein
FLLBPJGF_00060	CDS	870				hypothetical protein
FLLBPJGF_00061	CDS	1359	gor	1.8.1.7	COG1249	Glutathione reductase
FLLBPJGF_00062	CDS	558				hypothetical protein
FLLBPJGF_00063	CDS	567				hypothetical protein
FLLBPJGF_00064	CDS	1065	rnfD_1	7.2.1.2	COG4658	Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex subunit D
FLLBPJGF_00065	CDS	1329	rnfC_1	7.1.1.-	COG4656	Proton-translocating ferredoxin:NAD(+) oxidoreductase complex subunit C
FLLBPJGF_00066	CDS	474				hypothetical protein
FLLBPJGF_00067	CDS	975	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
FLLBPJGF_00068	CDS	1374	glmU			Bifunctional protein GlmU
FLLBPJGF_00069	CDS	822	purR_1		COG0503	Pur operon repressor
FLLBPJGF_00070	CDS	3441	pycA	6.4.1.1		Pyruvate carboxylase
FLLBPJGF_00071	CDS	2625		7.2.2.10	COG0474	Calcium-transporting ATPase
FLLBPJGF_00072	CDS	339				hypothetical protein
FLLBPJGF_00073	CDS	1326	ugpB		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
FLLBPJGF_00074	CDS	867	araQ		COG0395	L-arabinose transport system permease protein AraQ
FLLBPJGF_00075	CDS	891	lacF			Lactose transport system permease protein LacF
FLLBPJGF_00076	CDS	1059	msiK	7.5.2.-	COG3839	Diacetylchitobiose uptake system ATP-binding protein MsiK
FLLBPJGF_00077	CDS	1788	urdA_1	1.3.99.33	COG1053	Urocanate reductase
FLLBPJGF_00078	CDS	1590	yfkN		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
FLLBPJGF_00079	CDS	1302	rnj	3.1.-.-		Ribonuclease J
FLLBPJGF_00080	CDS	921				hypothetical protein
FLLBPJGF_00081	CDS	858	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
FLLBPJGF_00082	CDS	2262	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
FLLBPJGF_00083	CDS	750	agrA_1		COG3279	Accessory gene regulator protein A
FLLBPJGF_00084	CDS	132				hypothetical protein
FLLBPJGF_00085	CDS	387				hypothetical protein
FLLBPJGF_00086	CDS	825				hypothetical protein
FLLBPJGF_00087	CDS	264				hypothetical protein
FLLBPJGF_00088	CDS	1293				hypothetical protein
FLLBPJGF_00089	CDS	288				hypothetical protein
FLLBPJGF_00090	CDS	4038	smc_1			Chromosome partition protein Smc
FLLBPJGF_00091	CDS	702			COG1136	putative ABC transporter ATP-binding protein
FLLBPJGF_00092	CDS	600				hypothetical protein
FLLBPJGF_00093	CDS	558	rnmV	3.1.26.8	COG1658	Ribonuclease M5
FLLBPJGF_00094	CDS	774	dtd3	3.1.1.96		D-aminoacyl-tRNA deacylase
FLLBPJGF_00095	CDS	1182	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
FLLBPJGF_00096	CDS	1458	rcsC	2.7.13.3		Sensor histidine kinase RcsC
