#duplication_margin=0.05
persistent_family	duplication_ratio	mean_presence	is_single_copy_marker
GC_00000001	0.893	5.321	False
GC_00000002	0.929	4.679	False
GC_00000003	0.68	3.68	False
GC_00000004	1.0	2.929	False
GC_00000005	1.0	2.821	False
GC_00000006	1.0	2.071	False
GC_00000007	1.0	2.071	False
GC_00000008	0.75	2.375	False
GC_00000009	1.0	2.0	False
GC_00000010	0.964	1.964	False
GC_00000011	0.964	1.964	False
GC_00000012	0.964	1.964	False
GC_00000013	0.964	1.964	False
GC_00000014	0.714	1.75	False
GC_00000015	0.75	1.75	False
GC_00000016	0.5	1.808	False
GC_00000017	0.536	1.607	False
GC_00000018	0.536	1.536	False
GC_00000019	0.593	1.593	False
GC_00000021	0.464	1.464	False
GC_00000023	0.429	1.429	False
GC_00000024	0.393	1.429	False
GC_00000025	0.321	1.357	False
GC_00000026	0.357	1.357	False
GC_00000027	0.357	1.357	False
GC_00000029	0.321	1.321	False
GC_00000030	0.25	1.321	False
GC_00000031	0.321	1.321	False
GC_00000032	0.37	1.37	False
GC_00000033	0.37	1.37	False
GC_00000034	0.321	1.321	False
GC_00000035	0.286	1.321	False
GC_00000036	0.346	1.346	False
GC_00000037	0.115	1.346	False
GC_00000038	0.214	1.214	False
GC_00000039	0.179	1.214	False
GC_00000041	0.179	1.179	False
GC_00000042	0.143	1.143	False
GC_00000043	0.143	1.143	False
GC_00000044	0.107	1.143	False
GC_00000046	0.292	1.292	False
GC_00000047	0.071	1.107	False
GC_00000048	0.036	1.107	True
GC_00000050	0.107	1.107	False
GC_00000051	0.107	1.107	False
GC_00000052	0.107	1.107	False
GC_00000053	0.107	1.107	False
GC_00000054	0.107	1.107	False
GC_00000056	0.107	1.107	False
GC_00000057	0.107	1.107	False
GC_00000058	0.107	1.107	False
GC_00000059	0.071	1.071	False
GC_00000060	0.071	1.071	False
GC_00000061	0.071	1.071	False
GC_00000062	0.071	1.071	False
GC_00000063	0.071	1.071	False
GC_00000064	0.071	1.071	False
GC_00000065	0.071	1.071	False
GC_00000066	0.25	1.25	False
GC_00000067	0.071	1.071	False
GC_00000068	0.111	1.111	False
GC_00000069	0.071	1.071	False
GC_00000070	0.036	1.071	True
GC_00000071	0.071	1.071	False
GC_00000072	0.111	1.111	False
GC_00000073	0.071	1.071	False
GC_00000074	0.071	1.071	False
GC_00000075	0.036	1.071	True
GC_00000076	0.071	1.071	False
GC_00000078	0.071	1.071	False
GC_00000079	0.036	1.071	True
GC_00000080	0.071	1.071	False
GC_00000081	0.071	1.071	False
GC_00000082	0.036	1.071	True
GC_00000083	0.071	1.071	False
GC_00000084	0.071	1.071	False
GC_00000086	0.111	1.111	False
GC_00000087	0.071	1.071	False
GC_00000088	0.071	1.071	False
GC_00000089	0.071	1.071	False
GC_00000090	0.071	1.071	False
GC_00000091	0.036	1.036	True
GC_00000092	0.036	1.036	True
GC_00000093	0.036	1.036	True
GC_00000094	0.036	1.036	True
GC_00000095	0.036	1.036	True
GC_00000096	0.036	1.036	True
GC_00000097	0.036	1.036	True
GC_00000098	0.036	1.036	True
GC_00000099	0.036	1.036	True
GC_00000100	0.036	1.036	True
GC_00000101	0.036	1.036	True
GC_00000102	0.036	1.036	True
GC_00000103	0.036	1.036	True
GC_00000104	0.036	1.036	True
GC_00000105	0.036	1.036	True
GC_00000106	0.036	1.036	True
GC_00000107	0.036	1.036	True
GC_00000108	0.036	1.036	True
GC_00000109	0.036	1.036	True
GC_00000110	0.036	1.036	True
GC_00000111	0.036	1.036	True
GC_00000112	0.036	1.036	True
GC_00000113	0.036	1.036	True
GC_00000114	0.036	1.036	True
GC_00000115	0.036	1.036	True
GC_00000116	0.036	1.036	True
GC_00000117	0.036	1.036	True
GC_00000118	0.036	1.036	True
GC_00000119	0.036	1.036	True
GC_00000120	0.036	1.036	True
GC_00000121	0.036	1.036	True
GC_00000122	0.036	1.036	True
GC_00000123	0.036	1.036	True
GC_00000124	0.036	1.036	True
GC_00000126	0.036	1.036	True
GC_00000127	0.036	1.036	True
GC_00000128	0.036	1.036	True
GC_00000129	0.036	1.036	True
GC_00000130	0.115	1.115	False
GC_00000131	0.036	1.036	True
GC_00000132	0.036	1.036	True
GC_00000133	0.036	1.036	True
GC_00000134	0.036	1.036	True
GC_00000135	0.036	1.036	True
GC_00000136	0.036	1.036	True
GC_00000137	0.036	1.036	True
GC_00000138	0.036	1.036	True
GC_00000139	0.036	1.036	True
GC_00000140	0.036	1.036	True
GC_00000141	0.036	1.036	True
GC_00000142	0.036	1.036	True
GC_00000143	0.036	1.036	True
GC_00000144	0.036	1.036	True
GC_00000145	0.036	1.036	True
GC_00000146	0.036	1.036	True
GC_00000147	0.036	1.036	True
GC_00000148	0.036	1.036	True
GC_00000149	0.036	1.036	True
GC_00000150	0.036	1.036	True
GC_00000151	0.036	1.036	True
GC_00000152	0.036	1.036	True
GC_00000153	0.036	1.036	True
GC_00000154	0.036	1.036	True
GC_00000155	0.036	1.036	True
GC_00000156	0.036	1.036	True
GC_00000157	0.036	1.036	True
GC_00000158	0.036	1.036	True
GC_00000159	0.036	1.036	True
GC_00000160	0.036	1.036	True
GC_00000161	0.036	1.036	True
GC_00000162	0.036	1.036	True
GC_00000163	0.036	1.036	True
GC_00000164	0.036	1.036	True
GC_00000165	0.036	1.036	True
GC_00000166	0.036	1.036	True
GC_00000167	0.036	1.036	True
GC_00000168	0.036	1.036	True
GC_00000169	0.036	1.036	True
GC_00000170	0.036	1.036	True
GC_00000171	0.036	1.036	True
GC_00000172	0.036	1.036	True
GC_00000173	0.074	1.074	False
GC_00000174	0.036	1.036	True
GC_00000175	0.036	1.036	True
GC_00000176	0.036	1.036	True
GC_00000177	0.036	1.036	True
GC_00000178	0.036	1.036	True
GC_00000179	0.036	1.036	True
GC_00000180	0.036	1.036	True
GC_00000181	0.036	1.036	True
GC_00000182	0.036	1.036	True
GC_00000183	0.036	1.036	True
GC_00000184	0.036	1.036	True
GC_00000185	0.036	1.036	True
GC_00000186	0.036	1.036	True
GC_00000187	0.036	1.036	True
GC_00000188	0.036	1.036	True
GC_00000189	0.036	1.036	True
GC_00000190	0.036	1.036	True
GC_00000191	0.036	1.036	True
GC_00000192	0.036	1.036	True
GC_00000193	0.036	1.036	True
GC_00000194	0.036	1.036	True
GC_00000195	0.036	1.036	True
GC_00000196	0.036	1.036	True
GC_00000197	0.036	1.036	True
GC_00000198	0.036	1.036	True
GC_00000199	0.036	1.036	True
GC_00000200	0.036	1.036	True
GC_00000201	0.036	1.036	True
GC_00000202	0.036	1.036	True
GC_00000203	0.036	1.036	True
GC_00000204	0.036	1.036	True
GC_00000205	0.036	1.036	True
GC_00000206	0.036	1.036	True
GC_00000207	0.036	1.036	True
GC_00000208	0.036	1.036	True
GC_00000209	0.036	1.036	True
GC_00000210	0.036	1.036	True
GC_00000211	0.036	1.036	True
GC_00000212	0.036	1.036	True
GC_00000213	0.0	1.0	True
GC_00000214	0.0	1.0	True
GC_00000215	0.0	1.0	True
GC_00000216	0.0	1.0	True
GC_00000217	0.0	1.0	True
GC_00000218	0.0	1.0	True
GC_00000219	0.0	1.0	True
