#soft_core=0.95
#duplication_margin=0.05
organism	nb_families	nb_persistent_families	nb_shell_families	nb_cloud_families	nb_exact_core	nb_soft_core	nb_genes	nb_persistent_genes	nb_shell_genes	nb_cloud_genes	nb_exact_core_genes	nb_soft_core_genes	completeness	nb_single_copy_markers
ATCC_51524	1660	1418	168	74	1298	1352	1690	1444	171	75	1320	1375	99.33	1339
KPL3033	1764	1417	185	162	1298	1351	1809	1449	195	165	1326	1379	99.41	1340
KPL3043	1662	1424	185	53	1298	1353	1722	1467	195	60	1335	1392	99.63	1343
KPL3050	1766	1425	211	130	1298	1353	1848	1482	231	135	1342	1399	99.7	1344
KPL3052	1760	1423	212	125	1298	1352	1828	1466	234	128	1333	1390	99.7	1344
KPL3065	1652	1427	177	48	1298	1353	1702	1467	185	50	1331	1388	99.93	1347
KPL3069	1798	1419	208	171	1298	1353	1878	1474	226	178	1340	1399	99.26	1338
KPL3070	1681	1429	180	72	1298	1353	1746	1479	190	77	1335	1395	100.0	1348
KPL3077	1767	1417	200	150	1298	1353	1845	1464	225	156	1327	1384	99.18	1337
KPL3084	1692	1429	194	69	1298	1353	1765	1482	212	71	1336	1394	100.0	1348
KPL3086	1654	1427	177	50	1298	1353	1714	1472	191	51	1336	1392	99.93	1347
KPL3090	1790	1427	193	170	1298	1352	1899	1488	202	209	1349	1404	99.93	1347
KPL3246	1677	1422	200	55	1298	1348	1728	1466	204	58	1334	1387	99.55	1342
KPL3250	1674	1422	182	70	1298	1353	1722	1462	186	74	1336	1392	99.63	1343
KPL3256	1748	1423	202	123	1298	1351	1808	1457	209	142	1327	1381	99.55	1342
KPL3264	1751	1424	215	112	1298	1352	1819	1474	229	116	1336	1392	99.7	1344
KPL3274	1647	1405	182	60	1298	1353	1692	1439	191	62	1323	1379	98.29	1325
KPL3911	1697	1429	198	70	1298	1353	1780	1488	222	70	1342	1400	100.0	1348
KPL1914	1701	1417	195	89	1298	1349	1778	1456	203	119	1320	1374	99.26	1338
KPL1934_CDC4709_98	1693	1418	189	86	1298	1353	1786	1503	196	87	1376	1433	99.33	1339
KPL1939_CDC4792_99	1696	1418	174	104	1298	1352	1736	1449	183	104	1323	1377	99.18	1337
KPL1938_CDC4791_99	1659	1417	170	72	1298	1347	1694	1447	174	73	1327	1377	99.26	1338
KPL1937_CDC4199_99	1748	1396	191	161	1298	1337	1797	1435	200	162	1328	1369	97.77	1318
KPL1933_CDC4545_98	1667	1406	181	80	1298	1350	1705	1436	188	81	1320	1375	98.44	1327
KPL1932_CDC4420_98	1744	1426	169	149	1298	1353	1778	1452	175	151	1321	1378	99.93	1347
KPL1931_CDC4294_98	1866	1418	196	252	1298	1346	1916	1448	203	265	1324	1373	99.41	1340
KPL1930_CDC2949_98	1662	1408	176	78	1298	1349	1694	1434	182	78	1319	1372	98.66	1330
KPL1922_CDC39_95	1680	1414	182	84	1298	1352	1708	1436	187	85	1319	1373	99.11	1336
