Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Accessory Fragment,Genome Fragment,Order within Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,KPL3033,KPL3043,KPL3050,KPL3052,KPL3065,KPL3069,KPL3070,KPL3077,KPL3084,KPL3086,KPL3090,KPL3246,KPL3250,KPL3256,KPL3264,KPL3274,KPL3911,KPL1914,KPL1934_CDC4709_98,ATCC_51524,KPL1939_CDC4792_99,KPL1938_CDC4791_99,KPL1937_CDC4199_99,KPL1933_CDC4545_98,KPL1932_CDC4420_98,KPL1931_CDC4294_98,KPL1930_CDC2949_98,KPL1922_CDC39_95
KPL3033_CDS_0000,persistent,Chromosomal replication initiator protein DnaA,28,28,1,NA,NA,,,,1337,1337,1337,KPL3033_CDS_0000,KPL3043_CDS_0000,KPL3050_CDS_0000,KPL3052_CDS_0000,KPL3065_CDS_0000,KPL3069_CDS_0000,KPL3070_CDS_0000,KPL3077_CDS_1202,KPL3084_CDS_0000,KPL3086_CDS_0000,KPL3090_CDS_0000,KPL3246_CDS_0000,KPL3250_CDS_0000,KPL3256_CDS_1332,KPL3264_CDS_1252,KPL3274_CDS_0000,KPL3911_CDS_0000,KPL1914_CDS_0334,KPL1934_CDC4709_98_CDS_0366,ATCC_51524_CDS_0530,KPL1939_CDC4792_99_CDS_0643,KPL1938_CDC4791_99_CDS_1644,KPL1937_CDC4199_99_CDS_1505,KPL1933_CDC4545_98_CDS_1123,KPL1932_CDC4420_98_CDS_1498,KPL1931_CDC4294_98_CDS_1652,KPL1930_CDC2949_98_CDS_0370,KPL1922_CDC39_95_CDS_0955
KPL3033_CDS_0096,persistent,hypothetical protein,24,31,1.29,NA,NA,,,,140,140,140,"KPL3033_CDS_0096 ""KPL3033_CDS_0108""",KPL3043_CDS_0105,KPL3050_CDS_0103,,,"KPL3069_CDS_0109 ""KPL3069_CDS_0095""",KPL3070_CDS_0103,KPL3077_CDS_1303,KPL3084_CDS_0103,,KPL3090_CDS_0198,KPL3246_CDS_0108,,"KPL3256_CDS_1432 ""KPL3256_CDS_1446""","KPL3264_CDS_1160 ""KPL3264_CDS_1143""",KPL3274_CDS_0096,KPL3911_CDS_0104,"KPL1914_CDS_0222 ""KPL1914_CDS_0235""",KPL1934_CDC4709_98_CDS_0466,ATCC_51524_CDS_0428,"KPL1939_CDC4792_99_CDS_0750 ""KPL1939_CDC4792_99_CDS_0742""",KPL1938_CDC4791_99_CDS_1348,KPL1937_CDC4199_99_CDS_1053,KPL1933_CDC4545_98_CDS_1000,KPL1932_CDC4420_98_CDS_1602,KPL1931_CDC4294_98_CDS_0779,"KPL1930_CDC2949_98_CDS_0483 ""KPL1930_CDC2949_98_CDS_0523""",KPL1922_CDC39_95_CDS_0062
KPL3033_CDS_0128,persistent,S-ribosylhomocysteine lyase,28,28,1,NA,NA,,,,470,470,470,KPL3033_CDS_0128,KPL3043_CDS_0141,KPL3050_CDS_0133,KPL3052_CDS_0114,KPL3065_CDS_0126,KPL3069_CDS_0128,KPL3070_CDS_0121,KPL3077_CDS_1331,KPL3084_CDS_0122,KPL3086_CDS_0126,KPL3090_CDS_0221,KPL3246_CDS_0129,KPL3250_CDS_0110,KPL3256_CDS_1466,KPL3264_CDS_1116,KPL3274_CDS_0135,KPL3911_CDS_0123,KPL1914_CDS_0201,KPL1934_CDC4709_98_CDS_0487,ATCC_51524_CDS_0393,KPL1939_CDC4792_99_CDS_0782,KPL1938_CDC4791_99_CDS_1323,KPL1937_CDC4199_99_CDS_1020,KPL1933_CDC4545_98_CDS_0981,KPL1932_CDC4420_98_CDS_1637,KPL1931_CDC4294_98_CDS_0211,KPL1930_CDC2949_98_CDS_0504,KPL1922_CDC39_95_CDS_0093
KPL3033_CDS_0192,persistent,50S ribosomal protein L23,28,28,1,NA,NA,,,,290,290,290,KPL3033_CDS_0192,KPL3043_CDS_0215,KPL3050_CDS_0203,KPL3052_CDS_0189,KPL3065_CDS_0200,KPL3069_CDS_0200,KPL3070_CDS_0204,KPL3077_CDS_1409,KPL3084_CDS_0204,KPL3086_CDS_0199,KPL3090_CDS_0297,KPL3246_CDS_0188,KPL3250_CDS_0174,KPL3256_CDS_1540,KPL3264_CDS_1038,KPL3274_CDS_0203,KPL3911_CDS_0206,KPL1914_CDS_0127,KPL1934_CDC4709_98_CDS_0564,ATCC_51524_CDS_0324,KPL1939_CDC4792_99_CDS_0855,KPL1938_CDC4791_99_CDS_1474,KPL1937_CDC4199_99_CDS_0941,KPL1933_CDC4545_98_CDS_0901,KPL1932_CDC4420_98_CDS_1044,KPL1931_CDC4294_98_CDS_1491,KPL1930_CDC2949_98_CDS_0805,KPL1922_CDC39_95_CDS_1120
KPL3033_CDS_0224,persistent,Protein ADP-ribosyltransferase,28,28,1,NA,NA,,,,725,887,881.21,KPL3033_CDS_0224,KPL3043_CDS_0247,KPL3050_CDS_0235,KPL3052_CDS_0221,KPL3065_CDS_0232,KPL3069_CDS_0232,KPL3070_CDS_0236,KPL3077_CDS_1441,KPL3084_CDS_0236,KPL3086_CDS_0231,KPL3090_CDS_0329,KPL3246_CDS_0220,KPL3250_CDS_0206,KPL3256_CDS_1571,KPL3264_CDS_1006,KPL3274_CDS_0235,KPL3911_CDS_0238,KPL1914_CDS_0095,KPL1934_CDC4709_98_CDS_0596,ATCC_51524_CDS_0292,KPL1939_CDC4792_99_CDS_0406,KPL1938_CDC4791_99_CDS_1506,KPL1937_CDC4199_99_CDS_0909,KPL1933_CDC4545_98_CDS_0869,KPL1932_CDC4420_98_CDS_1076,KPL1931_CDC4294_98_CDS_1523,KPL1930_CDC2949_98_CDS_0837,KPL1922_CDC39_95_CDS_1088
KPL3033_CDS_0256,shell,Apulose-4-phosphate transketolase subunit B,21,21,1,NA,NA,,,,875,920,917.86,KPL3033_CDS_0256,,KPL3050_CDS_0276,KPL3052_CDS_0256,,KPL3069_CDS_0263,KPL3070_CDS_0277,KPL3077_CDS_1474,KPL3084_CDS_0277,,KPL3090_CDS_0364,KPL3246_CDS_0255,KPL3250_CDS_0248,KPL3256_CDS_1600,,KPL3274_CDS_0271,KPL3911_CDS_0279,KPL1914_CDS_0055,KPL1934_CDC4709_98_CDS_0627,ATCC_51524_CDS_0256,KPL1939_CDC4792_99_CDS_0437,,,KPL1933_CDC4545_98_CDS_0834,,KPL1931_CDC4294_98_CDS_1563,KPL1930_CDC2949_98_CDS_0868,KPL1922_CDC39_95_CDS_1056
KPL3033_CDS_0288,cloud,hypothetical protein,1,1,1,NA,NA,,,,515,515,515,KPL3033_CDS_0288,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPL3033_CDS_0320,persistent,hypothetical protein,28,28,1,NA,NA,,,,575,626,624.18,KPL3033_CDS_0320,KPL3043_CDS_0337,KPL3050_CDS_0340,KPL3052_CDS_0324,KPL3065_CDS_0324,KPL3069_CDS_0332,KPL3070_CDS_0338,KPL3077_CDS_1539,KPL3084_CDS_0343,KPL3086_CDS_0322,KPL3090_CDS_0432,KPL3246_CDS_0337,KPL3250_CDS_0316,KPL3256_CDS_1670,KPL3264_CDS_0916,KPL3274_CDS_0329,KPL3911_CDS_0345,KPL1914_CDS_1749,KPL1934_CDC4709_98_CDS_0689,ATCC_51524_CDS_0197,KPL1939_CDC4792_99_CDS_0502,KPL1938_CDC4791_99_CDS_1280,KPL1937_CDC4199_99_CDS_0798,KPL1933_CDC4545_98_CDS_0759,KPL1932_CDC4420_98_CDS_1675,KPL1931_CDC4294_98_CDS_1239,KPL1930_CDC2949_98_CDS_0119,KPL1922_CDC39_95_CDS_0996
KPL3033_CDS_0352,persistent,Sugar phosphatase YidA,28,28,1,NA,NA,,,,815,815,815,KPL3033_CDS_0352,KPL3043_CDS_0369,KPL3050_CDS_0373,KPL3052_CDS_0356,KPL3065_CDS_0357,KPL3069_CDS_0364,KPL3070_CDS_0374,KPL3077_CDS_1571,KPL3084_CDS_0380,KPL3086_CDS_0355,KPL3090_CDS_0464,KPL3246_CDS_0370,KPL3250_CDS_0349,KPL3256_CDS_1702,KPL3264_CDS_0880,KPL3274_CDS_0365,KPL3911_CDS_0381,KPL1914_CDS_1716,KPL1934_CDC4709_98_CDS_0722,ATCC_51524_CDS_0164,KPL1939_CDC4792_99_CDS_0534,KPL1938_CDC4791_99_CDS_1248,KPL1937_CDC4199_99_CDS_0766,KPL1933_CDC4545_98_CDS_0727,KPL1932_CDC4420_98_CDS_1707,KPL1931_CDC4294_98_CDS_1272,KPL1930_CDC2949_98_CDS_1673,KPL1922_CDC39_95_CDS_1647
KPL3033_CDS_0384,persistent,hypothetical protein,28,28,1,NA,NA,,,,920,920,920,KPL3033_CDS_0384,KPL3043_CDS_0400,KPL3050_CDS_0405,KPL3052_CDS_0389,KPL3065_CDS_0389,KPL3069_CDS_0397,KPL3070_CDS_0407,KPL3077_CDS_1603,KPL3084_CDS_0412,KPL3086_CDS_0387,KPL3090_CDS_0497,KPL3246_CDS_0402,KPL3250_CDS_0382,KPL3256_CDS_1733,KPL3264_CDS_0847,KPL3274_CDS_0398,KPL3911_CDS_0414,KPL1914_CDS_1684,KPL1934_CDC4709_98_CDS_0754,ATCC_51524_CDS_0131,KPL1939_CDC4792_99_CDS_0567,KPL1938_CDC4791_99_CDS_1215,KPL1937_CDC4199_99_CDS_0735,KPL1933_CDC4545_98_CDS_0694,KPL1932_CDC4420_98_CDS_1740,KPL1931_CDC4294_98_CDS_1304,KPL1930_CDC2949_98_CDS_0909,KPL1922_CDC39_95_CDS_1678
