Id,Label,Interval,nb_genes,name,product,type,partition,sub partition,partition_exact,partition_soft,length_avg,length_med,nb_organisms,Genome1,Genome2,Genome3,Genome4,Genome5,Genome6,Genome7,Genome8,Genome9,Genome10,Genome11,Genome12,Genome13,Genome14,Genome15,Genome16,Genome17,Genome18,Genome19,Genome20,Genome21,Genome22,Genome23,Genome24,Genome25,Genome26,Genome27,Genome28
0,GC_00000001,,149,COG3344,Retron-type reverse transcriptase (YkfC),CDS,persistent,P,exact_core,soft_core,1191.69,1295,28,ATCC_51524___900,KPL3033___1709|KPL3033___876|KPL3033___1048|KPL3033___1692|KPL3033___1485|KPL3033___1584|KPL3033___875,KPL3043___1559|KPL3043___823|KPL3043___1019|KPL3043___441|KPL3043___1208|KPL3043___151|KPL3043___119|KPL3043___1273|KPL3043___27|KPL3043___1615,KPL3050___1163|KPL3050___1238|KPL3050___245|KPL3050___105|KPL3050___1276|KPL3050___1717|KPL3050___1040|KPL3050___815|KPL3050___1118|KPL3050___254|KPL3050___1526,KPL3052___996|KPL3052___1556|KPL3052___1128|KPL3052___1558,KPL3065___1594|KPL3065___357|KPL3065___1538|KPL3065___106|KPL3065___27|KPL3065___136|KPL3065___1634|KPL3065___1192,KPL3069___1458|KPL3069___815|KPL3069___1460|KPL3069___816,KPL3070___1301|KPL3070___1363|KPL3070___957|KPL3070___1700|KPL3070___1626,KPL3077___1305|KPL3077___1050|KPL3077___777,KPL3084___1646|KPL3084___518|KPL3084___975|KPL3084___1325|KPL3084___1720|KPL3084___1402,KPL3086___106|KPL3086___355|KPL3086___1204|KPL3086___1552|KPL3086___27|KPL3086___136|KPL3086___1607,KPL3090___688|KPL3090___245|KPL3090___1419|KPL3090___1253|KPL3090___1141|KPL3090___1749|KPL3090___404|KPL3090___1778|KPL3090___27|KPL3090___1048|KPL3090___12|KPL3090___934|KPL3090___1566|KPL3090___1292,KPL3246___1369|KPL3246___740|KPL3246___267|KPL3246___309|KPL3246___342|KPL3246___1312|KPL3246___1146|KPL3246___1638,KPL3250___1671|KPL3250___1173|KPL3250___1592|KPL3250___216|KPL3250___288|KPL3250___1369|KPL3250___933|KPL3250___1414|KPL3250___723,KPL3256___904|KPL3256___779|KPL3256___1200,KPL3264___399|KPL3264___1143|KPL3264___1711|KPL3264___165|KPL3264___224|KPL3264___1678|KPL3264___1508,KPL3274___999,KPL3911___789|KPL3911___1001|KPL3911___1660|KPL3911___1735|KPL3911___1421|KPL3911___1351|KPL3911___1190|KPL3911___1118,KPL1914___1178|KPL1914___475,KPL1934_CDC4709_98___1338|KPL1934_CDC4709_98___1681|KPL1934_CDC4709_98___662|KPL1934_CDC4709_98___70|KPL1934_CDC4709_98___1563|KPL1934_CDC4709_98___1418|KPL1934_CDC4709_98___498|KPL1934_CDC4709_98___1223|KPL1934_CDC4709_98___606|KPL1934_CDC4709_98___1130|KPL1934_CDC4709_98___397,KPL1939_CDC4792_99___798|KPL1939_CDC4792_99___1243|KPL1939_CDC4792_99___947,KPL1938_CDC4791_99___915|KPL1938_CDC4791_99___1194,KPL1937_CDC4199_99___1053|KPL1937_CDC4199_99___884|KPL1937_CDC4199_99___885|KPL1937_CDC4199_99___895|KPL1937_CDC4199_99___1007,KPL1933_CDC4545_98___209|KPL1933_CDC4545_98___319,KPL1932_CDC4420_98___432|KPL1932_CDC4420_98___690,KPL1931_CDC4294_98___1192|KPL1931_CDC4294_98___779,KPL1930_CDC2949_98___280,KPL1922_CDC39_95___1080|KPL1922_CDC39_95___134|KPL1922_CDC39_95___135
1,GC_00000002,,131,,,CDS,persistent,P,exact_core,soft_core,182.05,128,28,ATCC_51524___641|ATCC_51524___512,KPL3033___1691|KPL3033___1047,KPL3043___1271|KPL3043___1207|KPL3043___1614|KPL3043___20|KPL3043___1596|KPL3043___1018|KPL3043___120,KPL3050___1370|KPL3050___1275|KPL3050___814|KPL3050___1716|KPL3050___1117|KPL3050___106|KPL3050___246|KPL3050___1162|KPL3050___255,KPL3052___1701|KPL3052___1557,KPL3065___1576|KPL3065___1191|KPL3065___20|KPL3065___1251,KPL3069___1754|KPL3069___1459,KPL3070___1699|KPL3070___1625|KPL3070___1478|KPL3070___1362|KPL3070___1300|KPL3070___22,KPL3077___1306|KPL3077___1049|KPL3077___944|KPL3077___1087,KPL3084___1504|KPL3084___1719|KPL3084___22|KPL3084___519|KPL3084___1324|KPL3084___1401|KPL3084___1645,KPL3086___1589|KPL3086___1264|KPL3086___20|KPL3086___1203,KPL3090___1140|KPL3090___28|KPL3090___689|KPL3090___1777|KPL3090___246|KPL3090___11|KPL3090___1047|KPL3090___1565|KPL3090___1291|KPL3090___1254|KPL3090___405,KPL3246___1613|KPL3246___310|KPL3246___1271,KPL3250___1368|KPL3250___724|KPL3250___932|KPL3250___1413|KPL3250___289|KPL3250___217|KPL3250___1670|KPL3250___1591|KPL3250___1172,KPL3256___778|KPL3256___1199|KPL3256___1352|KPL3256___903,KPL3264___1509|KPL3264___223|KPL3264___166|KPL3264___1142|KPL3264___1679,KPL3274___1570,KPL3911___1734|KPL3911___1420|KPL3911___1350|KPL3911___1522|KPL3911___23|KPL3911___1659|KPL3911___1191|KPL3911___1119,KPL1914___476|KPL1914___439,KPL1934_CDC4709_98___499|KPL1934_CDC4709_98___607|KPL1934_CDC4709_98___1131|KPL1934_CDC4709_98___398|KPL1934_CDC4709_98___1562|KPL1934_CDC4709_98___1417|KPL1934_CDC4709_98___1222|KPL1934_CDC4709_98___663|KPL1934_CDC4709_98___1680,KPL1939_CDC4792_99___1720|KPL1939_CDC4792_99___663,KPL1938_CDC4791_99___61|KPL1938_CDC4791_99___1692|KPL1938_CDC4791_99___1433|KPL1938_CDC4791_99___1295|KPL1938_CDC4791_99___1607|KPL1938_CDC4791_99___1432|KPL1938_CDC4791_99___1193|KPL1938_CDC4791_99___435|KPL1938_CDC4791_99___1664,KPL1937_CDC4199_99___1052|KPL1937_CDC4199_99___1263|KPL1937_CDC4199_99___1139|KPL1937_CDC4199_99___341|KPL1937_CDC4199_99___1668|KPL1937_CDC4199_99___883|KPL1937_CDC4199_99___491,KPL1933_CDC4545_98___1105,KPL1932_CDC4420_98___433|KPL1932_CDC4420_98___1518,KPL1931_CDC4294_98___237|KPL1931_CDC4294_98___1439|KPL1931_CDC4294_98___1628|KPL1931_CDC4294_98___850,KPL1930_CDC2949_98___390|KPL1930_CDC2949_98___351|KPL1930_CDC2949_98___923,KPL1922_CDC39_95___263|KPL1922_CDC39_95___1079
3,GC_00000004,,82,,,CDS,persistent,P,exact_core,soft_core,236.04,230,28,ATCC_51524___856|ATCC_51524___858|ATCC_51524___857,KPL3033___1043|KPL3033___1042|KPL3033___1041,KPL3043___1064|KPL3043___1066|KPL3043___1065,KPL3050___1166|KPL3050___1165|KPL3050___1164,KPL3052___1164|KPL3052___1166|KPL3052___1165,KPL3065___1042|KPL3065___1041|KPL3065___1043,KPL3069___1150|KPL3069___1152|KPL3069___1151,KPL3070___1077|KPL3070___1079|KPL3070___1078,KPL3077___546|KPL3077___545,KPL3084___1101|KPL3084___1100|KPL3084___1102,KPL3086___1057|KPL3086___1056|KPL3086___1055,KPL3090___1177|KPL3090___1179|KPL3090___1178,KPL3246___1072|KPL3246___1074|KPL3246___1073,KPL3250___1058|KPL3250___1060|KPL3250___1059,KPL3256___664|KPL3256___666|KPL3256___665,KPL3264___162|KPL3264___164|KPL3264___163,KPL3274___1035|KPL3274___1034|KPL3274___1033,KPL3911___1122|KPL3911___1121|KPL3911___1120,KPL1914___965|KPL1914___967|KPL1914___966,KPL1934_CDC4709_98___1460|KPL1934_CDC4709_98___1462|KPL1934_CDC4709_98___1461,KPL1939_CDC4792_99___373|KPL1939_CDC4792_99___374,KPL1938_CDC4791_99___700|KPL1938_CDC4791_99___702|KPL1938_CDC4791_99___701,KPL1937_CDC4199_99___487|KPL1937_CDC4199_99___486|KPL1937_CDC4199_99___485,KPL1933_CDC4545_98___1522|KPL1933_CDC4545_98___1524|KPL1933_CDC4545_98___1523,KPL1932_CDC4420_98___522|KPL1932_CDC4420_98___524|KPL1932_CDC4420_98___523,KPL1931_CDC4294_98___417|KPL1931_CDC4294_98___419|KPL1931_CDC4294_98___418,KPL1930_CDC2949_98___1154|KPL1930_CDC2949_98___1156|KPL1930_CDC2949_98___1155,KPL1922_CDC39_95___488|KPL1922_CDC39_95___486|KPL1922_CDC39_95___487
4,GC_00000005,,79,COG0747,"ABC-type transport system, periplasmic component (DdpA) (PDB:3RQT)",CDS,persistent,P,exact_core,soft_core,1849.05,1853,28,ATCC_51524___120|ATCC_51524___119,KPL3033___670|KPL3033___407|KPL3033___406,KPL3043___424|KPL3043___423|KPL3043___682,KPL3050___427|KPL3050___774|KPL3050___429,KPL3052___419|KPL3052___418,KPL3065___411|KPL3065___412|KPL3065___668,KPL3069___775|KPL3069___433|KPL3069___434,KPL3070___451|KPL3070___706|KPL3070___450,KPL3077___1626|KPL3077___1625,KPL3084___456|KPL3084___455|KPL3084___716,KPL3086___668|KPL3086___409|KPL3086___410,KPL3090___520|KPL3090___519|KPL3090___790,KPL3246___432|KPL3246___702|KPL3246___431,KPL3250___672|KPL3250___405|KPL3250___406,KPL3256___312|KPL3256___1768|KPL3256___1769,KPL3264___827|KPL3264___828|KPL3264___560,KPL3274___421|KPL3274___422|KPL3274___678,KPL3911___458|KPL3911___457|KPL3911___735,KPL1914___1663|KPL1914___1664,KPL1934_CDC4709_98___777|KPL1934_CDC4709_98___778|KPL1934_CDC4709_98___1082,KPL1939_CDC4792_99___1287|KPL1939_CDC4792_99___589|KPL1939_CDC4792_99___590,KPL1938_CDC4791_99___1691|KPL1938_CDC4791_99___1195,KPL1937_CDC4199_99___1532|KPL1937_CDC4199_99___5|KPL1937_CDC4199_99___1531,KPL1933_CDC4545_98___1258|KPL1933_CDC4545_98___675|KPL1933_CDC4545_98___674,KPL1932_CDC4420_98___1422|KPL1932_CDC4420_98___1762|KPL1932_CDC4420_98___1763,KPL1931_CDC4294_98___1208|KPL1931_CDC4294_98___1209|KPL1931_CDC4294_98___636,KPL1930_CDC2949_98___692|KPL1930_CDC2949_98___1457|KPL1930_CDC2949_98___693,KPL1922_CDC39_95___1695|KPL1922_CDC39_95___1414|KPL1922_CDC39_95___1694
5,GC_00000006,,58,COG3048,D-serine dehydratase (DsdA) (PDB:3R0Z),CDS,persistent,P,exact_core,soft_core,1314.76,1337,28,ATCC_51524___1461|ATCC_51524___1361,KPL3033___1444|KPL3033___552,KPL3043___1367|KPL3043___569,KPL3050___662|KPL3050___1455,KPL3052___656|KPL3052___1440,KPL3065___1347|KPL3065___555,KPL3069___662|KPL3069___1519|KPL3069___1520,KPL3070___1358|KPL3070___596,KPL3077___833|KPL3077___29,KPL3084___606|KPL3084___1383,KPL3086___554|KPL3086___1360,KPL3090___676|KPL3090___1548,KPL3246___584|KPL3246___1356,KPL3250___556|KPL3250___1351,KPL3256___211|KPL3256___962,KPL3264___1621|KPL3264___672,KPL3274___576|KPL3274___1316,KPL3911___614|KPL3911___1407,KPL1914___689|KPL1914___1510,KPL1934_CDC4709_98___6|KPL1934_CDC4709_98___977|KPL1934_CDC4709_98___1744,KPL1939_CDC4792_99___169|KPL1939_CDC4792_99___1556,KPL1938_CDC4791_99___995|KPL1938_CDC4791_99___1594,KPL1937_CDC4199_99___564|KPL1937_CDC4199_99___1635,KPL1933_CDC4545_98___1358|KPL1933_CDC4545_98___174,KPL1932_CDC4420_98___373|KPL1932_CDC4420_98___1295,KPL1931_CDC4294_98___1780|KPL1931_CDC4294_98___703,KPL1930_CDC2949_98___1562|KPL1930_CDC2949_98___338,KPL1922_CDC39_95___741|KPL1922_CDC39_95___1538
6,GC_00000007,,58,COG1114,Branched-chain amino acid permease (BrnQ),CDS,persistent,P,exact_core,soft_core,1301.36,1331,28,ATCC_51524___710|ATCC_51524___194,KPL3033___325|KPL3033___1313,KPL3043___342|KPL3043___1217,KPL3050___1327|KPL3050___345,KPL3052___329|KPL3052___1317,KPL3065___1201|KPL3065___329,KPL3069___1309|KPL3069___337,KPL3070___343|KPL3070___1229,KPL3077___1544|KPL3077___702,KPL3084___1253|KPL3084___348,KPL3086___327|KPL3086___1213,KPL3090___437|KPL3090___1339,KPL3246___1233|KPL3246___343,KPL3250___1222|KPL3250___321,KPL3256___1675|KPL3256___830,KPL3264___1754|KPL3264___1753|KPL3264___913,KPL3274___334|KPL3274___1190,KPL3911___350|KPL3911___1279,KPL1914___1746|KPL1914___815,KPL1934_CDC4709_98___694|KPL1934_CDC4709_98___1616|KPL1934_CDC4709_98___1617,KPL1939_CDC4792_99___507|KPL1939_CDC4792_99___66,KPL1938_CDC4791_99___1277|KPL1938_CDC4791_99___856,KPL1937_CDC4199_99___1370|KPL1937_CDC4199_99___795,KPL1933_CDC4545_98___756|KPL1933_CDC4545_98___1674,KPL1932_CDC4420_98___1680|KPL1932_CDC4420_98___678,KPL1931_CDC4294_98___1244|KPL1931_CDC4294_98___259,KPL1930_CDC2949_98___1007|KPL1930_CDC2949_98___1645,KPL1922_CDC39_95___338|KPL1922_CDC39_95___1617
8,GC_00000009,,56,COG1854,"S-ribosylhomocysteine lyase LuxS, autoinducer biosynthesis (LuxS) (PDB:5E68)",CDS,persistent,P,exact_core,soft_core,470,470,28,ATCC_51524___104|ATCC_51524___394,KPL3033___422|KPL3033___129,KPL3043___142|KPL3043___439,KPL3050___444|KPL3050___134,KPL3052___434|KPL3052___115,KPL3065___427|KPL3065___127,KPL3069___449|KPL3069___129,KPL3070___467|KPL3070___122,KPL3077___1332|KPL3077___1641,KPL3084___123|KPL3084___471,KPL3086___425|KPL3086___127,KPL3090___535|KPL3090___222,KPL3246___130|KPL3246___447,KPL3250___421|KPL3250___111,KPL3256___78|KPL3256___1467,KPL3264___810|KPL3264___1117,KPL3274___136|KPL3274___437,KPL3911___474|KPL3911___124,KPL1914___1648|KPL1914___202,KPL1934_CDC4709_98___793|KPL1934_CDC4709_98___488,KPL1939_CDC4792_99___783|KPL1939_CDC4792_99___181,KPL1938_CDC4791_99___1324|KPL1938_CDC4791_99___59,KPL1937_CDC4199_99___469|KPL1937_CDC4199_99___1021,KPL1933_CDC4545_98___982|KPL1933_CDC4545_98___389,KPL1932_CDC4420_98___1158|KPL1932_CDC4420_98___1638,KPL1931_CDC4294_98___1810|KPL1931_CDC4294_98___212,KPL1930_CDC2949_98___505|KPL1930_CDC2949_98___1203,KPL1922_CDC39_95___543|KPL1922_CDC39_95___94
9,GC_00000010,,55,COG1354,"Chromatin segregation and condensation protein Rec8/ScpA/Scc1, kleisin family (ScpA) (PDB:3W6J)",CDS,persistent,P,exact_core,soft_core,673.18,770,28,ATCC_51524___770|ATCC_51524___769,KPL3033___1198|KPL3033___1199,KPL3043___1152,KPL3050___1261|KPL3050___1262,KPL3052___1252|KPL3052___1253,KPL3065___1132|KPL3065___1133,KPL3069___1246|KPL3069___1245,KPL3070___1165|KPL3070___1166,KPL3077___638|KPL3077___639,KPL3084___1189|KPL3084___1190,KPL3086___1146|KPL3086___1147,KPL3090___1277|KPL3090___1278,KPL3246___1169|KPL3246___1170,KPL3250___1158|KPL3250___1159,KPL3256___764|KPL3256___765,KPL3264___60|KPL3264___61,KPL3274___1130|KPL3274___1129,KPL3911___1215|KPL3911___1214,KPL1914___879|KPL1914___878,KPL1934_CDC4709_98___1549|KPL1934_CDC4709_98___1548,KPL1939_CDC4792_99___263|KPL1939_CDC4792_99___264,KPL1938_CDC4791_99___788|KPL1938_CDC4791_99___789,KPL1937_CDC4199_99___256|KPL1937_CDC4199_99___257,KPL1933_CDC4545_98___1611|KPL1933_CDC4545_98___1610,KPL1932_CDC4420_98___611|KPL1932_CDC4420_98___610,KPL1931_CDC4294_98___322|KPL1931_CDC4294_98___323,KPL1930_CDC2949_98___1066|KPL1930_CDC2949_98___1067,KPL1922_CDC39_95___399|KPL1922_CDC39_95___400
10,GC_00000011,,55,COG0617,tRNA nucleotidyltransferase/poly(A) polymerase (PcnB) (PDB:3WFR),CDS,persistent,P,exact_core,soft_core,805.13,1226,28,ATCC_51524___1270|ATCC_51524___1269,KPL3033___650|KPL3033___649,KPL3043___661|KPL3043___662,KPL3050___753|KPL3050___754,KPL3052___748|KPL3052___749,KPL3065___648|KPL3065___647,KPL3069___753|KPL3069___754,KPL3070___686|KPL3070___685,KPL3077___120|KPL3077___121,KPL3084___696|KPL3084___695,KPL3086___647|KPL3086___648,KPL3090___770|KPL3090___769,KPL3246___681|KPL3246___680,KPL3250___648|KPL3250___649,KPL3256___291|KPL3256___292,KPL3264___581|KPL3264___580,KPL3274___661|KPL3274___662,KPL3911___714|KPL3911___715,KPL1914___1413|KPL1914___1412,KPL1934_CDC4709_98___1061|KPL1934_CDC4709_98___1062,KPL1939_CDC4792_99___1310|KPL1939_CDC4792_99___1311,KPL1938_CDC4791_99___169|KPL1938_CDC4791_99___168,KPL1937_CDC4199_99___1551|KPL1937_CDC4199_99___1552,KPL1933_CDC4545_98___1279|KPL1933_CDC4545_98___1280,KPL1932_CDC4420_98___1400|KPL1932_CDC4420_98___1401,KPL1931_CDC4294_98___615|KPL1931_CDC4294_98___616,KPL1930_CDC2949_98___1478|KPL1930_CDC2949_98___1477,KPL1922_CDC39_95___1434
11,GC_00000012,,55,COG0366,Glycosidase/amylase (phosphorylase) (AmyA) (PDB:2P67) (PUBMED:29684280),CDS,persistent,P,exact_core,soft_core,1127.71,1832,28,ATCC_51524___991|ATCC_51524___992,KPL3033___910|KPL3033___909,KPL3043___933|KPL3043___932,KPL3050___1043|KPL3050___1042,KPL3052___1037|KPL3052___1036,KPL3065___919|KPL3065___918,KPL3069___1025,KPL3070___960|KPL3070___959,KPL3077___419|KPL3077___418,KPL3084___978|KPL3084___977,KPL3086___931|KPL3086___930,KPL3090___1051|KPL3090___1050,KPL3246___954|KPL3246___953,KPL3250___935|KPL3250___936,KPL3256___548|KPL3256___547,KPL3264___299|KPL3264___300,KPL3274___910|KPL3274___911,KPL3911___1004|KPL3911___1003,KPL1914___1123|KPL1914___1124,KPL1934_CDC4709_98___1341|KPL1934_CDC4709_98___1340,KPL1939_CDC4792_99___1032|KPL1939_CDC4792_99___1031,KPL1938_CDC4791_99___143|KPL1938_CDC4791_99___144,KPL1937_CDC4199_99___1244|KPL1937_CDC4199_99___1243,KPL1933_CDC4545_98___491|KPL1933_CDC4545_98___490,KPL1932_CDC4420_98___731|KPL1932_CDC4420_98___730,KPL1931_CDC4294_98___1415|KPL1931_CDC4294_98___1416,KPL1930_CDC2949_98___549|KPL1930_CDC2949_98___550,KPL1922_CDC39_95___280|KPL1922_CDC39_95___279
