locus_tag	ftype	length_bp	gene	EC_number	COG	product
KCJCKPDC_00001	CDS	1302				hypothetical protein
KCJCKPDC_00002	CDS	5520	smc_1			Chromosome partition protein Smc
KCJCKPDC_00003	tRNA	73				tRNA-Thr(tgt)
KCJCKPDC_00004	tRNA	72				tRNA-Gly(gcc)
KCJCKPDC_00005	tRNA	87				tRNA-Leu(taa)
KCJCKPDC_00006	CDS	1971				hypothetical protein
KCJCKPDC_00007	CDS	321	licA		COG1447	Lichenan-specific phosphotransferase enzyme IIA component
KCJCKPDC_00008	CDS	318	celA_1	2.7.1.205		PTS system cellobiose-specific EIIB component
KCJCKPDC_00009	CDS	1185	nagK_1	2.7.1.59		N-acetyl-D-glucosamine kinase
KCJCKPDC_00010	CDS	900				hypothetical protein
KCJCKPDC_00011	CDS	1815				hypothetical protein
KCJCKPDC_00012	CDS	1776	bga	3.2.1.23		Beta-galactosidase
KCJCKPDC_00013	CDS	1392	celB_1		COG1455	PTS system cellobiose-specific EIIC component
KCJCKPDC_00014	CDS	1278	licC		COG1455	Lichenan permease IIC component
KCJCKPDC_00015	CDS	1461	pbuO		COG2252	Guanine/hypoxanthine permease PbuO
KCJCKPDC_00016	CDS	390				hypothetical protein
KCJCKPDC_00017	CDS	1359	gor	1.8.1.7	COG1249	Glutathione reductase
KCJCKPDC_00018	CDS	558				hypothetical protein
KCJCKPDC_00019	CDS	567				hypothetical protein
KCJCKPDC_00020	CDS	1065	rnfD_1	7.2.1.2	COG4658	Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex subunit D
KCJCKPDC_00021	CDS	1329	rnfC_1	7.1.1.-	COG4656	Proton-translocating ferredoxin:NAD(+) oxidoreductase complex subunit C
KCJCKPDC_00022	CDS	474				hypothetical protein
KCJCKPDC_00023	CDS	975	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
KCJCKPDC_00024	CDS	1374	glmU			Bifunctional protein GlmU
KCJCKPDC_00025	CDS	822	purR		COG0503	Pur operon repressor
KCJCKPDC_00026	CDS	3441	pycA	6.4.1.1		Pyruvate carboxylase
KCJCKPDC_00027	CDS	2625		7.2.2.10	COG0474	Calcium-transporting ATPase
KCJCKPDC_00028	CDS	339				hypothetical protein
KCJCKPDC_00029	CDS	213				hypothetical protein
KCJCKPDC_00030	CDS	1326	ugpB		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
KCJCKPDC_00031	CDS	867	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
KCJCKPDC_00032	CDS	891	lacF_1			Lactose transport system permease protein LacF
KCJCKPDC_00033	CDS	1059	msiK	7.5.2.-	COG3839	Diacetylchitobiose uptake system ATP-binding protein MsiK
KCJCKPDC_00034	CDS	1803	urdA_1	1.3.99.33	COG1053	Urocanate reductase
KCJCKPDC_00035	CDS	1590	yfkN		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
KCJCKPDC_00036	CDS	1302	rnj	3.1.-.-		Ribonuclease J
KCJCKPDC_00037	CDS	921				hypothetical protein
KCJCKPDC_00038	CDS	858	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
KCJCKPDC_00039	CDS	2262	metE_1	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
KCJCKPDC_00040	CDS	1200				hypothetical protein
KCJCKPDC_00041	CDS	921				hypothetical protein
KCJCKPDC_00042	CDS	264				hypothetical protein
KCJCKPDC_00043	CDS	1293				hypothetical protein
KCJCKPDC_00044	CDS	288				hypothetical protein
KCJCKPDC_00045	CDS	4038	smc_2			Chromosome partition protein Smc
KCJCKPDC_00046	CDS	702			COG1136	putative ABC transporter ATP-binding protein
KCJCKPDC_00047	CDS	603				hypothetical protein
KCJCKPDC_00048	CDS	681				hypothetical protein
KCJCKPDC_00049	CDS	588	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
KCJCKPDC_00050	CDS	558	rnmV	3.1.26.8	COG1658	Ribonuclease M5
KCJCKPDC_00051	CDS	774	dtd3	3.1.1.96		D-aminoacyl-tRNA deacylase
KCJCKPDC_00052	CDS	1182	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
KCJCKPDC_00053	CDS	1458	rcsC	2.7.13.3		Sensor histidine kinase RcsC
KCJCKPDC_00054	CDS	717	srrA_1		COG0745	Transcriptional regulatory protein SrrA
KCJCKPDC_00055	CDS	141				hypothetical protein
KCJCKPDC_00056	CDS	336	ssbA_1		COG0629	Single-stranded DNA-binding protein A
KCJCKPDC_00057	CDS	1692	argS_1	6.1.1.19	COG0018	Arginine--tRNA ligase
KCJCKPDC_00058	CDS	972				hypothetical protein
KCJCKPDC_00059	CDS	891	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
KCJCKPDC_00060	CDS	1584		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
KCJCKPDC_00061	CDS	2025	metG	6.1.1.10		Methionine--tRNA ligase
KCJCKPDC_00062	CDS	471	luxS_1	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
KCJCKPDC_00063	CDS	492				hypothetical protein
KCJCKPDC_00064	tRNA	75				tRNA-Asn(gtt)
KCJCKPDC_00065	rRNA	111				5S ribosomal RNA
KCJCKPDC_00066	CDS	99				hypothetical protein
KCJCKPDC_00067	CDS	369	ziaR			Transcriptional repressor SmtB 
KCJCKPDC_00068	CDS	222	cadA_1	3.6.3.3	COG2217	Cadmium, zinc and cobalt-transporting ATPase
KCJCKPDC_00069	CDS	1845	cadA_2	3.6.3.3	COG2217	Cadmium, zinc and cobalt-transporting ATPase
KCJCKPDC_00070	CDS	468				hypothetical protein
KCJCKPDC_00071	CDS	606				hypothetical protein
KCJCKPDC_00072	CDS	606				hypothetical protein
KCJCKPDC_00073	CDS	564	rsmH_1	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
KCJCKPDC_00074	CDS	2238				hypothetical protein
KCJCKPDC_00075	CDS	2418	leuS	6.1.1.4		Leucine--tRNA ligase
KCJCKPDC_00076	CDS	1665	murJ		COG2244	Lipid II flippase MurJ
KCJCKPDC_00077	CDS	723			COG0217	putative transcriptional regulatory protein/MSMEI_2866
KCJCKPDC_00078	CDS	1065	comGA		COG2804	ComG operon protein 1
KCJCKPDC_00079	CDS	1065				hypothetical protein
KCJCKPDC_00080	CDS	324				hypothetical protein
KCJCKPDC_00081	CDS	447				hypothetical protein
KCJCKPDC_00082	CDS	324				hypothetical protein
KCJCKPDC_00083	CDS	435				hypothetical protein
KCJCKPDC_00084	CDS	837				hypothetical protein
KCJCKPDC_00085	CDS	1062	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
KCJCKPDC_00086	CDS	558	efp			Elongation factor P
KCJCKPDC_00087	CDS	372				putative protein
KCJCKPDC_00088	CDS	495	nusB			Transcription antitermination protein NusB
KCJCKPDC_00089	CDS	1356	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
KCJCKPDC_00090	CDS	222	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
KCJCKPDC_00091	CDS	891		2.5.1.10		Farnesyl diphosphate synthase
KCJCKPDC_00092	CDS	807	tlyA		COG1189	Hemolysin A
KCJCKPDC_00093	CDS	1686	recN		COG0497	DNA repair protein RecN
KCJCKPDC_00094	CDS	129				hypothetical protein
KCJCKPDC_00095	CDS	1440	gnd	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, decarboxylating
KCJCKPDC_00096	CDS	657		2.7.1.113	COG1428	Deoxyguanosine kinase
KCJCKPDC_00097	CDS	363	ybaN		COG2832	Inner membrane protein YbaN
KCJCKPDC_00098	CDS	693	arlR		COG0745	Response regulator ArlR
KCJCKPDC_00099	CDS	1500	arlS	2.7.13.3		Signal transduction histidine-protein kinase ArlS
KCJCKPDC_00100	CDS	1188	dinB	2.7.7.7	COG0389	DNA polymerase IV
KCJCKPDC_00101	CDS	1299	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
KCJCKPDC_00102	CDS	969	nrnA	3.1.-.-	COG0618	putative bifunctional oligoribonuclease and PAP phosphatase NrnA
KCJCKPDC_00103	CDS	2088	pbpF		COG0744	Penicillin-binding protein 1F
KCJCKPDC_00104	CDS	408				hypothetical protein
KCJCKPDC_00105	CDS	1218	cpdA	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
KCJCKPDC_00106	CDS	2712				hypothetical protein
KCJCKPDC_00107	CDS	948	yhaM	3.1.-.-	COG3481	3'-5' exoribonuclease YhaM
KCJCKPDC_00108	CDS	1095	prsA	5.2.1.8		Foldase protein PrsA
KCJCKPDC_00109	CDS	345				hypothetical protein
KCJCKPDC_00110	CDS	438	hit		COG0537	Protein hit
KCJCKPDC_00111	CDS	732	ecsA		COG1131	ABC-type transporter ATP-binding protein EcsA
KCJCKPDC_00112	CDS	1206				hypothetical protein
KCJCKPDC_00113	CDS	789				hypothetical protein
KCJCKPDC_00114	CDS	660	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
KCJCKPDC_00115	CDS	339				hypothetical protein
KCJCKPDC_00116	CDS	1074	pepA	3.4.11.7	COG1363	Glutamyl aminopeptidase
KCJCKPDC_00117	CDS	603				hypothetical protein
KCJCKPDC_00118	CDS	537				hypothetical protein
KCJCKPDC_00119	CDS	1332	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
KCJCKPDC_00120	CDS	2580				hypothetical protein
KCJCKPDC_00121	CDS	942	csbB	2.4.-.-	COG0463	Putative glycosyltransferase CsbB
KCJCKPDC_00122	CDS	411				hypothetical protein
KCJCKPDC_00123	CDS	1020	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
KCJCKPDC_00124	CDS	1422				hypothetical protein
KCJCKPDC_00125	CDS	1197				hypothetical protein
KCJCKPDC_00126	CDS	981				hypothetical protein
KCJCKPDC_00127	CDS	786				hypothetical protein
KCJCKPDC_00128	CDS	1083				hypothetical protein
KCJCKPDC_00129	CDS	2526				hypothetical protein
KCJCKPDC_00130	CDS	744	tuaG	2.4.-.-	COG0463	Putative teichuronic acid biosynthesis glycosyltransferase TuaG
KCJCKPDC_00131	CDS	282				hypothetical protein
KCJCKPDC_00132	CDS	894				DegV domain-containing protein
KCJCKPDC_00133	CDS	1854	asnB	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 1
KCJCKPDC_00134	CDS	1113			COG0628	Putative transport protein
KCJCKPDC_00135	CDS	978	ansA	3.5.1.1	COG0252	putative L-asparaginase
KCJCKPDC_00136	CDS	207				hypothetical protein
KCJCKPDC_00137	CDS	1233				L-lactate transporter
KCJCKPDC_00138	CDS	1056				hypothetical protein
KCJCKPDC_00139	CDS	741				hypothetical protein
KCJCKPDC_00140	CDS	513				hypothetical protein
KCJCKPDC_00141	CDS	606	nudL	3.6.1.-		putative Nudix hydrolase NudL
KCJCKPDC_00142	CDS	300		2.8.1.-	COG0607	Sulfurtransferase
KCJCKPDC_00143	CDS	1947	glgB	2.4.1.18		1,4-alpha-glucan branching enzyme GlgB
KCJCKPDC_00144	CDS	1146	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
KCJCKPDC_00145	CDS	1167	glgD		COG0448	Glycogen biosynthesis protein GlgD
KCJCKPDC_00146	CDS	1434	glgA	2.4.1.21	COG0297	Glycogen synthase
KCJCKPDC_00147	CDS	2436	glgP	2.4.1.1	COG0058	Glycogen phosphorylase
KCJCKPDC_00148	CDS	1833	apu			Amylopullulanase
KCJCKPDC_00149	CDS	381	tdcF	3.5.4.-	COG0251	Putative reactive intermediate deaminase TdcF
KCJCKPDC_00150	CDS	198				hypothetical protein
KCJCKPDC_00151	rRNA	111				5S ribosomal RNA
KCJCKPDC_00152	CDS	948	ghrA	1.1.1.81		Glyoxylate/hydroxypyruvate reductase A
KCJCKPDC_00153	CDS	1800	pepF1_1	3.4.24.-		Oligoendopeptidase F, plasmid
KCJCKPDC_00154	CDS	474	bsaA			Glutathione peroxidase BsaA
KCJCKPDC_00155	CDS	2829	uvrA			UvrABC system protein A
KCJCKPDC_00156	CDS	1665				hypothetical protein
KCJCKPDC_00157	CDS	294				hypothetical protein
KCJCKPDC_00158	CDS	183				hypothetical protein
KCJCKPDC_00159	CDS	303				hypothetical protein
KCJCKPDC_00160	CDS	354				hypothetical protein
KCJCKPDC_00161	CDS	945	hprK	2.7.11.-	COG1493	HPr kinase/phosphorylase
KCJCKPDC_00162	CDS	879	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
KCJCKPDC_00163	CDS	999	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
KCJCKPDC_00164	CDS	429				hypothetical protein
KCJCKPDC_00165	CDS	939	trxB_1	1.8.1.9	COG0492	Thioredoxin reductase
KCJCKPDC_00166	CDS	1725	pgcA	5.4.2.2		Phosphoglucomutase
KCJCKPDC_00167	CDS	891	yvcJ		COG1660	Nucleotide-binding protein YvcJ
KCJCKPDC_00168	CDS	1029			COG0391	Putative gluconeogenesis factor
KCJCKPDC_00169	CDS	924	whiA		COG1481	putative cell division protein WhiA
KCJCKPDC_00170	CDS	594	clpP	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
KCJCKPDC_00171	CDS	1926	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase 1
KCJCKPDC_00172	CDS	1263	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
KCJCKPDC_00173	CDS	561				hypothetical protein
KCJCKPDC_00174	CDS	357	ypjD		COG1694	putative protein YpjD
KCJCKPDC_00175	CDS	1227	cca	2.7.7.72		CCA-adding enzyme
KCJCKPDC_00176	CDS	2772	dinG	3.1.-.-		3'-5' exonuclease DinG
KCJCKPDC_00177	CDS	480				hypothetical protein
KCJCKPDC_00178	CDS	1296	asnS	6.1.1.22		Asparagine--tRNA ligase
KCJCKPDC_00179	CDS	732	dnaD		COG3935	DNA replication protein DnaD
