gene_callers_id	source	accession	function	e_value
1	Prokka:Prodigal	dnaA	Chromosomal replication initiator protein DnaA	0
2	Prokka:Prodigal	dnaN	Beta sliding clamp	0
3	Prokka:Prodigal			0
4	Prokka:Prodigal	recF	DNA replication and repair protein RecF	0
5	Prokka:Prodigal	gyrB	DNA gyrase subunit B	0
6	Prokka:Prodigal	gyrA	DNA gyrase subunit A	0
7	Prokka:Prodigal			0
8	Prokka:Prodigal	purB	Adenylosuccinate lyase	0
9	Prokka:Prodigal	noxE	NADH oxidase	0
10	Prokka:Prodigal	rpsF	30S ribosomal protein S6	0
11	Prokka:Prodigal	ssbA_1	Single-stranded DNA-binding protein A	0
12	Prokka:Prodigal	rpsR	30S ribosomal protein S18	0
13	Prokka:Prodigal	gdpP	Cyclic-di-AMP phosphodiesterase GdpP	0
14	Prokka:Prodigal	rplI	50S ribosomal protein L9	0
15	Prokka:Prodigal	dnaC	Replicative DNA helicase	0
16	Prokka:Prodigal			0
17	Prokka:Prodigal	lrgA_1	Antiholin-like protein LrgA	0
18	Prokka:Prodigal	yohK_1	Inner membrane protein YohK	0
19	Prokka:Prodigal	lrgA_2	Antiholin-like protein LrgA	0
20	Prokka:Prodigal	yohK_2	Inner membrane protein YohK	0
21	Prokka:Prodigal	hmo	4-hydroxymandelate oxidase	0
22	Prokka:Prodigal			0
23	Prokka:Prodigal			0
24	Prokka:Prodigal			0
25	Prokka:Prodigal	walR	Transcriptional regulatory protein WalR	0
26	Prokka:Prodigal	walK	Sensor protein kinase WalK	0
27	Prokka:Prodigal			0
28	Prokka:Prodigal	yycI	Two-component system WalR/WalK regulatory protein YycI	0
29	Prokka:Prodigal	yycJ	Putative metallo-hydrolase YycJ	0
30	Prokka:Prodigal	htrA	Serine protease Do-like HtrA	0
31	Prokka:Prodigal	rlmH	Ribosomal RNA large subunit methyltransferase H	0
32	Prokka:Prodigal	trkA	Trk system potassium uptake protein TrkA	0
33	Prokka:Prodigal	trkG	Trk system potassium uptake protein TrkG	0
34	Prokka:Prodigal	thiT	Thiamine transporter ThiT	0
35	Prokka:Prodigal			0
36	Prokka:Prodigal			0
37	Prokka:Prodigal	yedJ	putative protein YedJ	0
38	Prokka:Prodigal		DegV domain-containing protein	0
39	Prokka:Prodigal		Nudix hydrolase	0
40	Prokka:Prodigal	malL	Oligo-1,6-glucosidase	0
41	Prokka:Prodigal	mapP	Maltose 6'-phosphate phosphatase	0
42	Prokka:Prodigal	malP	PTS system maltose-specific EIICB component	0
43	Prokka:Prodigal			0
44	Prokka:Prodigal			0
45	Prokka:Prodigal			0
46	Prokka:Prodigal			0
47	Prokka:Prodigal			0
48	Prokka:Prodigal	mnmC	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC	0
49	Prokka:Prodigal	nrdD	Anaerobic ribonucleoside-triphosphate reductase	0
50	Prokka:Prodigal			0
51	Prokka:Prodigal			0
52	Prokka:Prodigal	metP_1	Methionine import system permease protein MetP	0
53	Prokka:Prodigal	metN_1	Methionine import ATP-binding protein MetN	0
54	Prokka:Prodigal	mgsA	Methylglyoxal synthase	0
55	Prokka:Prodigal			0
56	Prokka:Prodigal	fhs	Formate--tetrahydrofolate ligase	0
57	Prokka:Prodigal	folD	Bifunctional protein FolD protein	0
58	Prokka:Prodigal	yqgN	putative protein YqgN	0
59	Prokka:Prodigal	fchA	Methenyltetrahydrofolate cyclohydrolase	0
60	Prokka:Prodigal			0
61	Prokka:Prodigal			0
62	Prokka:Prodigal	fumC	Fumarate hydratase class II	0
63	Prokka:Prodigal			0
64	Prokka:Prodigal	rsmG	Ribosomal RNA small subunit methyltransferase G	0
65	Prokka:Prodigal	soj	Sporulation initiation inhibitor protein Soj	0
66	Prokka:Prodigal	spo0J	Stage 0 sporulation protein J	0
67	Prokka:Prodigal			0
68	Prokka:Prodigal	ychF	Ribosome-binding ATPase YchF	0
69	Prokka:Prodigal			0
70	Prokka:Prodigal	adaB	Methylated-DNA--protein-cysteine methyltransferase, inducible	0
71	Prokka:Prodigal	mscL	Large-conductance mechanosensitive channel	0
72	Prokka:Prodigal			0
73	Prokka:Prodigal			0
74	Prokka:Prodigal	gsiC_1	Glutathione transport system permease protein GsiC	0
75	Prokka:Prodigal	ddpC	putative D,D-dipeptide transport system permease protein DdpC	0
76	Prokka:Prodigal	oppD_1	Oligopeptide transport ATP-binding protein OppD	0
77	Prokka:Prodigal	oppF_1	Oligopeptide transport ATP-binding protein OppF	0
78	Prokka:Prodigal			0
79	Prokka:Prodigal			0
80	Prokka:Prodigal	sbcD	Nuclease SbcCD subunit D	0
81	Prokka:Prodigal	smc_1	Chromosome partition protein Smc	0
82	Prokka:Prodigal			0
83	Prokka:Prodigal			0
84	Prokka:Prodigal	msmX	Oligosaccharides import ATP-binding protein MsmX	0
85	Prokka:Prodigal	dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	0
86	Prokka:Prodigal	radA	DNA repair protein RadA	0
87	Prokka:Prodigal	yacL	putative PIN and TRAM-domain containing protein YacL	0
88	Prokka:Prodigal			0
89	Prokka:Prodigal			0
90	Prokka:Prodigal			0
91	Prokka:Prodigal			0
92	Prokka:Prodigal			0
93	Prokka:Prodigal			0
94	Prokka:Prodigal			0
95	Prokka:Prodigal			0
96	Prokka:Prodigal			0
97	Prokka:Prodigal			0
98	Prokka:Prodigal			0
99	Prokka:Prodigal			0
100	Prokka:Prodigal			0
101	Prokka:Prodigal			0
102	Prokka:Prodigal		Fluoroquinolones export ATP-binding protein	0
103	Prokka:Prodigal			0
104	Prokka:Prodigal			0
105	Prokka:Prodigal			0
106	Prokka:Prodigal			0
107	Prokka:Prodigal			0
108	Prokka:Prodigal	agrA_1	Accessory gene regulator protein A	0
109	Prokka:Prodigal			0
110	Prokka:Prodigal			0
111	Prokka:Prodigal	btuD_1	Vitamin B12 import ATP-binding protein BtuD	0
112	Prokka:Prodigal			0
113	Prokka:Prodigal	gltX	Glutamate--tRNA ligase	0
114	Prokka:Prodigal			0
115	Prokka:Prodigal			0
116	Prokka:Prodigal	fpgS_1	Folylpolyglutamate synthase	0
117	Prokka:Prodigal	folE	GTP cyclohydrolase 1	0
118	Prokka:Prodigal	folB	Dihydroneopterin aldolase	0
119	Prokka:Prodigal			0
120	Prokka:Prodigal			0
121	Prokka:Prodigal			0
122	Prokka:Prodigal	pcp_1	Pyrrolidone-carboxylate peptidase	0
123	Prokka:Prodigal			0
124	Prokka:Prodigal			0
125	Prokka:Prodigal	msbA	Lipid A export ATP-binding/permease protein MsbA	0
126	Prokka:Prodigal		Putative multidrug export ATP-binding/permease protein	0
127	Prokka:Prodigal			0
128	Prokka:Prodigal	pcp_2	Pyrrolidone-carboxylate peptidase	0
129	Prokka:Prodigal			0
130	Prokka:Prodigal	metQ_1	D-methionine-binding lipoprotein MetQ	0
131	Prokka:Prodigal	metQ_2	D-methionine-binding lipoprotein MetQ	0
132	Prokka:Prodigal	metP_2	Methionine import system permease protein MetP	0
133	Prokka:Prodigal	metN_2	Methionine import ATP-binding protein MetN	0
134	Prokka:Prodigal		O-acetyl-L-homoserine sulfhydrylase	0
135	Prokka:Prodigal	metAA1	Homoserine O-acetyltransferase 1	0
136	Prokka:Prodigal	luxS_1	S-ribosylhomocysteine lyase	0
137	Prokka:Prodigal	ped	(S)-1-Phenylethanol dehydrogenase	0
138	Prokka:Prodigal	maa	Maltose O-acetyltransferase	0
139	Prokka:Prodigal			0
140	Prokka:Prodigal			0
141	Prokka:Prodigal		IS3 family transposase ISEfa10	0
142	Prokka:Prodigal		IS3 family transposase ISEfa10	0
143	Prokka:Prodigal			0
144	Prokka:Prodigal			0
145	Prokka:Prodigal			0
146	Prokka:Prodigal			0
147	Prokka:Prodigal			0
148	Prokka:Prodigal			0
149	Prokka:Prodigal	lagD_1	Lactococcin-G-processing and transport ATP-binding protein LagD	0
150	Prokka:Prodigal	agrA_2	Accessory gene regulator protein A	0
151	Prokka:Prodigal			0
152	Prokka:Prodigal			0
153	Prokka:Prodigal	btuD_2	Vitamin B12 import ATP-binding protein BtuD	0
154	Prokka:Prodigal			0
155	Prokka:Prodigal			0
156	Prokka:Prodigal	folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	0
157	Prokka:Prodigal	hpr	Hydroxypyruvate reductase	0
158	Prokka:Prodigal			0
159	Prokka:Prodigal			0
160	Prokka:Prodigal		IS3 family transposase ISEfa10	0
161	Prokka:Prodigal		IS3 family transposase ISEfa10	0
162	Prokka:Prodigal	cysS	Cysteine--tRNA ligase	0
163	Prokka:Prodigal	mrnC	Mini-ribonuclease 3	0
164	Prokka:Prodigal		Putative TrmH family tRNA/rRNA methyltransferase	0
165	Prokka:Prodigal			0
166	Prokka:Prodigal	bglK_1	Beta-glucoside kinase	0
167	Prokka:Prodigal		Aspartate racemase	0
168	Prokka:Prodigal		D-aspartate ligase	0
169	Prokka:Prodigal		Beta-hexosaminidase A	0
170	Prokka:Prodigal			0
171	Prokka:Prodigal			0
172	Prokka:Prodigal	amyS	Alpha-amylase	0
173	Prokka:Prodigal			0
174	Prokka:Prodigal	manZ_1	PTS system mannose-specific EIID component	0
175	Prokka:Prodigal	manY	PTS system mannose-specific EIIC component	0
176	Prokka:Prodigal	manX_1	PTS system mannose-specific EIIAB component	0
177	Prokka:Prodigal	manX_2	PTS system mannose-specific EIIAB component	0
178	Prokka:Prodigal			0
179	Prokka:Prodigal	dgaR	Transcriptional regulatory protein DagR	0
