to_annotate	gsize	nb_conts	L90
analysisPanACoTa/tmp_files/KPL1914.fa_prepare-split5N.fna	1890316	1	1
analysisPanACoTa/tmp_files/KPL3069.fa_prepare-split5N.fna	1977296	1	1
analysisPanACoTa/tmp_files/KPL3911.fa_prepare-split5N.fna	1900145	1	1
analysisPanACoTa/tmp_files/KPL3052.fa_prepare-split5N.fna	2001464	1	1
analysisPanACoTa/tmp_files/KPL3033.fa_prepare-split5N.fna	1958196	1	1
analysisPanACoTa/tmp_files/KPL3274.fa_prepare-split5N.fna	1875895	1	1
analysisPanACoTa/tmp_files/KPL3264.fa_prepare-split5N.fna	1984655	1	1
analysisPanACoTa/tmp_files/KPL3250.fa_prepare-split5N.fna	1904333	1	1
analysisPanACoTa/tmp_files/KPL3090.fa_prepare-split5N.fna	2009643	1	1
analysisPanACoTa/tmp_files/KPL3084.fa_prepare-split5N.fna	1906822	1	1
analysisPanACoTa/tmp_files/KPL3077.fa_prepare-split5N.fna	1956924	1	1
analysisPanACoTa/tmp_files/KPL3043.fa_prepare-split5N.fna	1885610	1	1
analysisPanACoTa/tmp_files/KPL3070.fa_prepare-split5N.fna	1883862	1	1
analysisPanACoTa/tmp_files/KPL1934_CDC4709_98.fa_prepare-split5N.fna	1987788	1	1
analysisPanACoTa/tmp_files/KPL3050.fa_prepare-split5N.fna	2043806	1	1
analysisPanACoTa/tmp_files/KPL3246.fa_prepare-split5N.fna	1946134	1	1
analysisPanACoTa/tmp_files/KPL3256.fa_prepare-split5N.fna	1941301	1	1
analysisPanACoTa/tmp_files/KPL3065.fa_prepare-split5N.fna	1878426	1	1
analysisPanACoTa/tmp_files/ATCC_51524.fa_prepare-split5N.fna	1846028	16	9
analysisPanACoTa/tmp_files/KPL1922_CDC39_95.fa_prepare-split5N.fna	1857717	85	14
analysisPanACoTa/tmp_files/KPL1932_CDC4420_98.fa_prepare-split5N.fna	1933598	75	15
analysisPanACoTa/tmp_files/KPL1933_CDC4545_98.fa_prepare-split5N.fna	1857908	36	17
analysisPanACoTa/tmp_files/KPL1938_CDC4791_99.fa_prepare-split5N.fna	1871987	75	17
analysisPanACoTa/tmp_files/KPL1939_CDC4792_99.fa_prepare-split5N.fna	1890633	66	20
analysisPanACoTa/tmp_files/KPL1930_CDC2949_98.fa_prepare-split5N.fna	1882863	109	25
analysisPanACoTa/tmp_files/KPL1931_CDC4294_98.fa_prepare-split5N.fna	2011767	95	29
analysisPanACoTa/tmp_files/KPL1937_CDC4199_99.fa_prepare-split5N.fna	1968012	107	31
